id,sent0,sent1
1092,he ate hot pot at a fast food restaurant,he ate a hamburger at a fast food restaurant
1093,he felt hungry and went to a gym to eat,he felt hungry and went to a restaurant to eat
1094,he suspected there was a mouse in the garage so he brought a cat home,he suspected there was a mouse in the garage so he brought a dog home
1095,as a geographer he studied the Earth's surface,as a geographer he created the Earth's surface
1096,joe stole some money from his own pocket,joe stole some money from his mother's pocket
1097,the child looked up to find stars in the sky,the child looked down to find stars in the sky
1098,he felt like suiciding and the doctor lent him a gun,he felt like suiciding and the doctor lent him a hand
1099,tom watched fictions on television,tom watched fictions on magazines
1100,john got up early to take a good rest,john got up late to take a good rest
1101,susan disconnected the phone to wait for another call,susan hung up the phone to wait for another call
1102,she bent her knees to jump up,she bent her eyebrows to jump up
1103,anne dropped an egg on the floor,anne dropped a waterfall on the floor
1104,the experienced sailor captain the ship,the experienced singer captain the ship
1105,he looked through a magnifier to observe a cell,he looked through a telescope to observe a cell
1106,he put on his shoes to see well enough,he put on his eyeglasses to see well enough
1107,josh stepped into a seashell when he walked along the beach,josh stepped on a seashell when he walked along the beach
1108,he walked barefoot over broken glass,he walked barefoot over smooth glass
1109,jefferson forgot to shut up before he did some exercises,jefferson forgot to warm up before he did some exercises
1110,he received a degree from his family,he received a degree from the university
1111,james drove his car for a long time everyday,james liked his car for a long time everyday
1112,tony used his drakes to stop his bicycle,tony used his brakes to stop his bicycle
1113,she found seahorses at the bottom of the sea,she found eagles at the bottom of the sea
1114,he used his id card to pay the bill,he used his credit card to pay the bill
1115,he is the first man born on the moon,he is the first man landed on the moon
1116,joe slipped on a banana peel,joe slept on a banana peel
1117,the newborn monkey drinks milk from its mother's breast,the newborn monkey drinks banana from its mother's breast
1118,carrots make tom sick,carrots make rabbits sick
1119,josh thought of an idea and wrote a history,josh thought of an idea and wrote a story
1120,jane drove so fast that she got a movie ticket,jane drove so fast that she got a speeding ticket
1121,jack called his sick friend to check on her,jack ignored his sick friend to check on her
1122,he got punished by the boss because of his hard work,he got paid by the boss because of his hard work
1123,a boat floated in the water,a boat floated in the bowl
1124,fred turned up the volume of the radio,fred turned up the capacity of the radio
1125,alex drove the van to the lake,alex drove the van into the lake
1126,frank brought a can of jewelry from the grocery shop,frank brought a can of beer from the grocery shop
1127,mary wore a pretty watch to the dancing party,mary wore a pretty dress to the dancing party
1128,tom fell and broke his heart,tom fell and broke his arm
1129,he ate his chop suey with chopsticks,he ate his chopsticks with chop suey
1130,the shower curtain looks good,the shower curtain tastes good
1131,jamie served delicious food on a dish,jamie served delicious food on a laptop
1132,he wrote a letter on a typewriter,he wrote a letter on tv
1133,judy used an earpick to clean between her teeth,judy used a toothpick to clean between her teeth
1134,suzie bought her parents a new car for her birthday,suzie bought her parents a new car for Christmas
1135,lily hid behind a hair,lily hid behind a chair
1136,she opened the curtain when she woke up,she opened the shower curtain when she woke up
1137,lewis was having an affair with his boss,lewis was having an affair with his girlfriend
1138,hats protect the head from sun and rain,hats expose the head to sun and rain
1139,jack handed a word to her,jack handed a dictionary to her
1140,he lent me some bills,he lent me some money
1141,I gave him the key to break the door,I gave him the key to open the door
1142,lucy made some tea to serve the guest,lucy drank some tea to serve the guest
1143,paul has a picture taken with two Americas,paul has a picture taken with two Americans
1144,the boss made him do hard work all day,the boss made him do hard work all year
1145,I heard her singing in the next city,I heard her singing in the next room
1146,I could hear the rain pattered against the window,I could hear the rain pattered through the window
1147,my boyfriend brought me some roses on Valentine's Day,my boyfriend grew me some roses on Valentine's Day
1148,chris lived at the bus stop,chris waited at the bus stop
1149,our teacher told us to make more effort in study,our teacher told us to make more mistakes in the study
1150,she made a beautiful cloth for the dinner party,she made a beautiful dress for the dinner party
1151,the advanced auto machine will cost us a lot of labor,the advanced auto machine will save us a lot of labor
1152,his success is due to his poor work,his success is due to his excellent work
1153,he turned to his teacher for a question in homework,he turned to his teacher for a question in the exam
1154,he tried hard to succeed to frustrate his parents,he tried hard to succeed to please his parents
1155,adults are not allowed to drink beer,children are not allowed to drink beer
1156,people became ignorant after they read the news,people became knowledgeable after they read the news
1157,caroline asked her dog a name,caroline gave her dog a name
1158,he prevented the car from going on the road,he prevented the car from going off the road
1159,franklin is singing in the choir,franklin is dancing in the choir
1160,Fiona wrote a shopping list after she went to the supermarket,Fiona wrote a shopping list before she went to the supermarket
1161,police officers enjoy eating donuts in an emergency,police officers enjoy eating donuts in spare time
1162,jill wrote a book with monsters,jill wrote a book about monsters
1163,she flew on a fly abroad,she flew on a plane abroad
1164,we talked too much that we all puked later,we ate too much that we all puked later
1165,tucker overdosed on candy,tucker overdosed on heroin
1166,he got dirty after he bought the house,he got dirty after he painted the house
1167,Ariel wanted to surprise Beth by calling her a puppy,Ariel wanted to surprise Beth by buying her a puppy
1168,larry put his leisure suit on for the meeting,larry put his swimsuit on for the meeting
1169,he put a piece of apple in his mouth,he put an apple in his mouth
1170,he posted a stamp on the letter,he printed a stamp on the letter
1171,alfred stopped at the drive-thru for a hamburger,alfred stopped at the drive-thru for a lobster
1172,"on the day of the concert, we went to the dining hall very early for seats","on the day of the concert, we went to the concert hall very early for seats"
1173,they bought paper made of steel,they bought paper made of wood
1174,they hung out at the coffee shop,they hung out at the meeting room
1175,joey used a towel to dry himself,joey used a mop to dry himself
1176,wildfires are controlled by firefighters,wildfires are controlled by street fighters
1177,bees can understand each other's dancing,honey can understand each other's dancing
1178,he looked at the watch worn on his waist,he looked at the watch worn on his wrist
1179,sleeping pills keep him warm in the wild,sleeping bags keep him warm in the wild
1180,a secret is something that few people know,a secret is something that everyone knows
1181,he ate too much that his fart was sweet,he ate too much that his fart was smelly
1182,he swallowed his food without chewing,he chewed his food without swallowing
1183,he brought his gun for the hunt,he brought his gum for the hunt
1184,the yard was wet after several days of sunshine,the yard was wet after several days of rain
1185,the ship sailed across the iced waters of the Atlantic,the ship sailed across the icy waters of the Atlantic
1186,the ship turned sharply to get a collision,the ship turned sharply to avoid a collision
1187,the artist added more colors on his painting,the artist added more melodies on his painting
1188,he found a bat to play soccer,he found a ball to play soccer
1189,peter is walking on the river of the bank,peter is walking on the bank of the river
1190,the student attended several lectures to learn from different professors,the student attended several lectures to teach different professors
1191,all the guest of the party sat next to the cake,all the guest of the party sat onto the cake
1192,mia got a discount on her groceries so she spent less money,mia got a discount on her groceries so she spent more money
1193,the sun is rising and it's getting bright outside,the sun is rising and it's getting dark outside
1194,the conversation is at the beginning so I hung up the phone,the conversation is at the end so I hung up the phone
1195,a canal was constructed next to the farmland for irrigation,a canal was constructed next to the farmland for flood
1196,the skydiver glided safely to the seabed,the skydiver glided safely to the ground
1197,after receiving the vaccine the baby became immune to the disease,after becoming immune to the disease the baby received the vaccine
1198,todd opened the window to let the fresh air out,todd opened the window to let the fresh air in
1199,the dog chased the cat up the tree,the dog chased the cat up the sofa
1200,jane painted a chair and put it aside,jane painted a chair and sat on it
1201,lily ordered a salad at a vegetarian restaurant,lily ordered a steak at a vegetarian restaurant
1202,he wanted to lose weight to fit into future clothes,he wanted to lose weight to fit into previous clothes
1203,"there is a huge, splendid cattle standing on the top of the hill","there is a huge, splendid castle standing on the top of the hill"
1204,he found a check of one million dollars in his wallet,he found cash of one million dollars in his wallet
1205,he parked his car in the wrong place so he was asked to sell it,he parked his car in the wrong place so he was asked to move it
1206,sally hatched some eggs for the Christmas eggnog,sally cracked some eggs for the Christmas eggnog
1207,cindy said she was too sick to go to school,cindy said she was too good to go to school
1208,the old man was praised for littering in public,the old man was fined for littering in public
1209,jones lost some weight and his clothes fit loosely,jones gained some weight and his clothes fit loosely
1210,he left his dog at his home when he headed for work,he left his dog in his office when he headed for work
1211,the government built an aircraft roadway in the airport,the government built an aircraft roadway in the train station
1212,the cat licked her fur carefully,the girl licked her fur carefully
1213,to accommodate the bugs he converted the sofa into a bed,to accommodate the guests he converted the sofa into a bed
1214,my hands are tired because I have been standing up all day,my feet are tired because I have been standing up all day
1215,joanna made a pot of chill for dinner,joanna made a pot of chili for dinner
1216,penguins are birds that cannot fly,penguins are fish that cannot fly
1217,I attend a class in the classroom,I attend a class in the principal room
1218,one of the common reasons for flight delay is the mood of the pilot,one of the common reasons for flight delay is the traffic of the aircraft runway
1219,in windy days everyone had to hold onto their hats,in windy days everyone had to hold onto their shoes
1220,after eating I put the plate in the sink,after cooking I put the plate in the sink
1221,the boy read the novel aloud to his blind grandfather,the boy read the novel aloud to his deaf grandfather
1222,after a long time of walking my foot went numb,after a long time of sitting my foot went numb
1223,the photographer skipped the moment when the kids smiled,the photographer snapped the moment when the kids smiled
1224,I slipped on the wet floor,I slipped on the cracked floor
1225,the bar closed early because it was crowded,the bar closed early because it was empty
1226,he got pulled over by the police when he was parking,he got pulled over by the police when he was speeding
1227,the kid was spoiled and ran away from home,the kid was abused and ran away from home
1228,bosh realized he forgot something when he looked at his watch,bosh realized he forgot something when he looked at his list
1229,the bartender refused to serve the lonely patron,the bartender refused to serve the drunk patron
1230,the student received detention for his excellent grades,the student received a scholarship for his excellent grades
1231,a train went through a tunnel and the inside of it went dark,a train went through a bridge and the inside of it went dark
1232,the turtle hid in its shell to avoid an enemy,the turtle hid in its shell to hunt a fish
1233,the girl handed down her clothes to her younger sister,the girl handed down her clothes to her elder sister
1234,the bomb was defused when the terrorist set it off,the bomb exploded when the terrorist set it off
1235,the food he dropped was ruined by his dog,the food he dropped was cooked by his dog
1236,the book was deemed inappropriate for children,the book was deemed inappropriate for human
1237,the driver made a wrong turn and the trip took a shorter time,the driver made a wrong turn and the trip took longer time
1238,after I replaced the batteries the flashlight was on,after I replaced the batteries the flashlight was dead
1239,I scratched my skin to relieve scar,I scratched my skin to relieve the itch
1240,the burglar broke into my house without calling me up,the burglar broke into my house without awakening me up
1241,jason held the door for the woman entering behind him,jason held the door for the woman entering before him
1242,the mirror in the bathroom fogged up after she applied her makeup,the mirror in the bathroom fogged up after she took a shower
1243,the security guard put the man down for his sneaky behavior,the security guard let the man pass for his sneaky behavior
1244,the driver rotated the steering wheel and the car turned,the driver rotated the steering wheel and the car halted
1245,my shirt was wrinkled so I ironed it,my shirt was tidy so I ironed it
1246,the patient is getting worse so the hospital sent him home,the patient is getting better so the hospital sent him home
1247,we found no seats in the theater so we sat down,we found empty seats in the theater so we sat down
1248,the woman received an admission after she graduated,the woman received a diploma after she graduated
1249,emily came upon a river on the sidewalk,emily came upon a puddle on the sidewalk
1250,she covered her ears at the deafening alarm,she covered her ears at the smelly smoke
1251,the audience booed the comedian off the stage for his humor,the audience booed the comedian off the stage for his boredom
1252,the coach gave his player a high five,the coach gave the referee a high five
1253,bob said my breath smelled of garlic so I brushed my teeth,bob said my breath smelled of garlic so I wiped my mouth
1254,alex was lost so he drew a map,alex was lost so he bought a map
1255,tina pushed the gas pedal to open the car door,tina pushed the gas pedal to speed the car up
1256,sarah got away with the crime because new evidence was discovered,sarah got away with the crime because new evidence was destroyed
1257,I wiped the book with a tissue and the dust on the cover came off,I wiped the book with a tissue and the words on the cover came off
1258,the student chewing gum in class was forced to swallow it in,the student chewing gum in class was forced to spit it out
1259,jane forget her ID so she was denied entrance into the bar,jane brought her ID so she was denied entrance into the bar
1260,a comet collided the moon and a crater formed on it,a comet passed by the moon and a crater formed on it
1261,the benefactor requested to stay anonymous to maintain his privacy,the benefactor requested to stay anonymous to maintain his reputation
1262,janice felt ashamed of the scar on her face,janice felt ashamed of the smile on her face
1263,the x-ray showed that his arm was painted,the x-ray showed that his arm was broken
1264,the boy filled the bucket with sand,the boy filled the bucket with air
1265,taylor downgraded her computer hardware for a better experience,taylor upgraded her computer hardware for a better experience
1266,after a religious awakening she began to go to church,after a religious awakening she began to travel around
1267,I put in some unnecessary contents and the drawers became cluttered,I threw away some unnecessary contents and the drawers became cluttered
1268,the student flaunted his test grade to his classmates,the student flaunted his test grade to his pets
1269,the boy felt homesick in another country,the boy felt homesick at his parent's
1270,she launched a rocket and then it flew up into the sky,she designed a rocket and then it flew up into the sky
1271,the boy murmured his reply when his mother told him to speak up,the boy murmured his reply when his mother told him to whisper
1272,he put the flowers he just bought into the vase,he put the tree he just bought into the vase
1273,the lipstick on his cheek implied he was kissed by a woman,the lipstick on his cheek implied he blushed in front of a woman
1274,the gardener put seeds in the soil to make his plants flourish,the gardener put fertilizer in the soil to make his plants flourish
1275,the pipe burst because the water was frozen,the pipe burst because the water was unsanitary
1276,the company lost money due to its positive consumer reviews,the company lost money due to its negative consumer reviews
1277,ben woke up with a toothache so he skipped an appointment with his dentist,ben woke up with a toothache so he made an appointment with his dentist
1278,the team lost the game due to the injury of the referee,the team lost the game due to the injury of their best player
1279,children are not allowed to watch the movie because it's animated,children are not allowed to watch the movie because it's rated R
1280,paul deleted the email for it's an important emailfalse : 1,paul deleted the email for it's a spam email
1281,the student's grade was higher for the incorrect answer on the exam,the student's grade was lower for the incorrect answer on the exam
1282,the toddler started crying without his favorite toy,the toddler started crying with his favorite toy
1283,monica pushed herself off the top of the slide and glided down,monica pushed herself off the top of the slide and crawled up
1284,humans fly in the sky,birds fly in the sky
1285,he eats a table for dinner,he eats a cake for dinner
1286,I write with a comb,I write with a pencil
1287,he peels an apple with a knife,he peels an apple with cotton
1288,I enjoy dancing shows in radio,I enjoy dancing shows on TV
1289,Strikes will bring convenience to people's lives,Strikes will bring inconvenience to people's lives
1290,you acquire objects when you go shopping,you give objects when you go shopping
1291,he runs errands to earn money,he runs errands to spend money
1292,"If you want to get a question, you will use a calculator","If you want to get an answer, you will use a calculator"
1293,You will sleep more if you want to get somewhere,You will study more if you want to get somewhere
1294,you feel sleepy when you advance into a battle,you feel fear when you advance into a battle
1295,You would cool off because you want to feel more comfortable,You would cool off because you want to feel more exciting
1296,You would hang out at school because you want to drink with friends,You would hang out at the bar because you want to drink with friends
1297,he turns the pages while reading a magazine,he closes his eyes while reading a magazine
1298,You would buy something big because you want to carry it with you,You would buy something small because you want to carry it with you
1299,Usually you need to invite friends to a party,Usually you need to invite animals to a party
1300,he needs to pay the cost of admission to go to the hospital,he needs to pay the cost of admission to go to a film
1301,He pedaled to ride his bicycle,he danced to ride his bicycle
1302,He used a torch to cool the freshly cooked beef,He used a breeze to cool the freshly cooked beef
1303,"I'm too full for lunch, so I'm going for a walk","I'm too full for lunch, so I'm going to eat more"
1304,Today's knowledge is too difficult for me to understand,Today's knowledge is too simple for me to understand
1305,People usually read books they are interested in,People usually read books they are not interested in
1306,You can practice English by communicating more with others,You can practice English by speaking more Spanish
1307,It is especially bad to harm a child,It is especially good to harm a child
1308,You would enjoy the company of your friends because they like the people you hate,You would enjoy the company of your friends because they hate the same people you do
1309,babies are smaller than adults,babies are bigger than adults
1310,You are likely to find a bird in a burrow,You are likely to find a weasel in a burrow
1311,Something that might happen as a consequence of answering questions is you are dead,Something that might happen as a consequence of answering questions is you are correct
1312,You would go to a film because you want to be entertained,You would go to a film because you want to be nervous
1313,Standing in the snow makes you feel hot,Standing in the snow makes you feel cold
1314,boats sail on the water,boats sail on the sky
1315,I feel dirty after taking a bath,I feel clean after taking a bath
1316,Everyone's skin color is different,Everyone has the same skin color
1317,harder tires grip better in wet weather,Softer tires grip better in wet weather
1318,Disabled people's life is inconvenient,Disabled people's life is convenient
1319,Often do not eat breakfast will make people sick,Often do not eat breakfast will make people healthy
1320,Most boys make up,Most girls make up
1321,Human beings should not destroy the environment,Human beings should destroy the environment
1322,People shouldn't play pirated games,People should play pirated games
1323,"I watered the flowers every day, so it opened very well","I did not water the flowers, so it opened very well"
1324,I want to go out for a picnic in bad weather,I want to go out for a picnic in fine weather
1325,"Cooking is a very boring thing, so I like it","Cooking is a very interesting thing, so I like it"
1326,"I never exercise, so I am very healthy","I exercise every day, so I am very healthy"
1327,Eating a lot makes me fat,Eating a lot makes me thin
1328,I want to have my hair cut because my hair is too long,I want to have my hair cut because my hair is too short
1329,I like to fail,I like to win
1330,a winter day would make you want to fly a kite,a spring day would make you want to fly a kite
1331,You are likely to find a bookshelf in a furniture store,You are likely to find a piece of bread in a furniture store
1332,He put a basketball in the printer.,He put a sheet of paper in the printer.
1333,You parked the boat in the garage,you parked your car in the garage
1334,a lot of people get hurt in sleep,a lot of people get hurt at war
1335,it is normal for people to use radio to play games,it is normal for people to use the computer to play games
1336,The space shuttle needs fuel to fly,The space shuttle needs water to fly
1337,Your father gave birth to you,Your mother gave birth to you
1338,he usually goes to the gym to sleep,he usually goes to the gym to do exercise
1339,people often go swimming in a car,people often go swimming in a pool
1340,he uses soap to clean himself,he uses a stone to clean himself
1341,He cooked a meal in an iron pot.,He cooked a meal in a paper pot.
1342,people usually dream when they fall asleep,people usually dream when they are awake
1343,he married a woman that he hated,he married a woman that he loves
1344,he uses a lot of water to post a message,he uses a lot of words to post a message
1345,students enhance their academic abilities by sleeping,Students enhance their academic abilities by doing homework
1346,he uses water to warm himself,he uses fire to warm himself
1347,he is drunk because he drinks too much alcohol,he is drunk because he sleeps a lot
1348,He braked with his left foot while driving.,He braked with his right foot while driving.
1349,he drinks water when he is thirsty,he drinks oil when he is thirsty
1350,Eating more vegetables will make people healthy.,Eating more vegetables will kill people
1351,Getting enough sleep can make you exhausted,getting enough sleep will make you energetic
1352,Cutting short strings makes the guitar sound,Playing the strings makes the guitar sound
1353,Pour detergent into the washing machine to wash clothes,Pour ink into the washing machine to wash clothes
1354,Dieting is a way to lose weight,Dieting is a way to gain weight
1355,Most people work to spend money,Most people work to earn money
1356,males are those who get pregnant and give birth to the next generation,females are those who get pregnant and give birth to the next generation
1357,Divergent attention improves learning efficiency,Concentration improves learning efficiency
1358,Gravity can start an electronic device,Electricity can start electronic devices
1359,People usually have breakfast after lunch,People usually have breakfast before lunch
1360,He took a nap in the sink,He took a nap in the bed
1361,Teachers usually give lectures to students,Students usually give lectures to teachers
1362,Cinemas usually play movies after the lights are turned on,Cinemas usually play movies when the lights are off
1363,He filled the car with water and drove off,He filled the car with petrol and drove off
1364,She often competes with her classmates who are equal to her grades,She often competes with her classmates who are much worse than her
1365,He threw his hook into the lake to catch elephants,He threw his hook into the lake to catch fish
1366,I need a dictionary to translate languages I don't understand,I need newspapers to translate languages I don't understand
1367,Swimmers in swimming competitions usually need to wear swimsuits,Swimmers in swimming competitions usually need to wear down jackets
1368,She often observes the stars with a telescope in the daytime,She often observes the stars with a telescope at night
1369,He communicated with his friends by newspapers,He communicated with his friends by letter
1370,Kissing is a way of expressing love between couples,Arguing is a way of expressing love between couples
1371,Household cleanliness after housework,Households get dirty after housework
1372,"In most cases, you need a passport to go to other countries","In most cases, you need a driving license to go to other countries"
1373,People usually go to bars for milk,People usually go to bars for drinks
1374,Students with poor eyesight mostly sit in the front rows of the classroom,Students with poor eyesight mostly sit in the back rows of the classroom
1375,"If you think TV programs are too loud, you can reduce the volume","If you think TV programs are too loud, you can increase the volume"
1376,Usually the one who gets a higher score in basketball game wins the game,Usually the one who gets a lower score in basketball game wins the game
1377,He wrote a book review before reading the book,He wrote a book review after reading the book
1378,People usually travel to the other side of the earth by plane,People usually travel to the other side of the earth on foot
1379,"If you lose too much weight, you won't be able to wear the clothes you used to wear","If you gain too much weight, you won't be able to wear the clothes you used to wear"
1380,People usually cry after hearing a funny joke,People usually laugh after hearing a funny joke
1381,a new hairstyle will give me a new look,a new hairstyle will give me the same look
1382,too much smoking can cure pulmonary disease,too much smoking can cause pulmonary disease
1383,"when your car is inspected, you are driving across the border","when you drive across the border, your car may be inspected."
1384,"it rarely winds in the desert, so the desert is dry","it rarely rains in the desert, so the desert is dry"
1385,usually there are many stores in malls,usually there are many elephants in malls
1386,milk is from cows' body,milk is from milkers' body
1387,Chicago is the name of a city,Chicago is the GDP of a city
1388,you can set cheese to catch the mouse,you can set a mouse trap to catch the mouse
1389,I put my clothes in a closet,I put my clothes in a shoebox
1390,this car is too expensive for Tom to buy it,this car is too cheap for Tom to buy it
1391,people can pick watermelons off from trees,people can pick lemons off from trees
1392,the color of the orange is orange,the color of the banana is banana
1393,this plate looks very good,this plate tastes very good
1394,I'm afraid to take flight so the plane may crash,I'm afraid to take flight because the plane may crash
1395,a farm may grow a crop of cows and sheep,a farm may grow a crop of fruit and vegetables
1396,"if you want to have lunch, you can choose a restaurant","if you want to have lunch, you must choose a restaurant"
1397,most people use legs to walk,most people use arms to walk
1398,silk is a common material for wedding gowns,silk is a common material for wedding rings
1399,he likes sitting in a boat and floating on the desert,he likes sitting in a boat and floating on the lake
1400,"if you want to travel, you should have a talk with a travel agent","if you want to travel, you should have a talk with a pilot"
1401,you can jump out of a window if the window is open,you can jump out of a window if the window is closed
1402,you need to be asleep first then you can awake,you need to have a dream first then you can awake
1403,a thief stole my finger,a thief stole my wallet
1404,Tom caught a big fish in the sea,Tom caught a big tiger in the sea
1405,I'm dirty now so I need to take a shower,I'm dirty now so I need to have lunch
1406,I can hear the light from the moon at night,I can see the light from the moon at night
1407,he is rude to others so he has many friends,he is kind to others so he has many friends
1408,they put out a fire successfully with water,they put out a fire successfully with kerosene
1409,I often watch movies with my girlfriend at the cinema,I often watch movies with my girlfriend in the gallery
1410,the waiter serves me coffee in the same cup every morning,the waiter serves me coffee on the same plate every morning
1411,the car broke down so I lifted the hood to check it,the car broke down so I lifted the window to check it
1412,smelling an apple every day can be good for your health,eating an apple every day can be good for your health
1413,we use windows to let the light shine into the house,we use walls to let the light shine into the house
1414,we can learn what will happen in the future by reading diary,we can learn what happened in the past by reading diary
1415,I parked my car on the highway,I parked my car in the garage
1416,I learned to play basketball to enjoy music,I learned to play the piano to enjoy music
1417,microphone is often a remarkable character of the speaker,confidence is often a remarkable character of the speaker
1418,people often sleep with their pajamas on,people often sleep with their shoes on
1419,humans can fly with wings,humans can fly with planes
1420,curiosity is one of the reasons people travel,laziness is one of the reasons people travel
1421,two people who hate each other will kiss,two people who love each other will kiss
1422,a first class airline seat is for rich people,a first class airline seat is for fat people
1423,Alice was late three times this week and the boss was very happy for it,Alice was late three times this week and the boss was very angry for it
1424,he swims in his own swimming pool every day,he swims in his own bathtub every day
1425,the telephone is one of the most important invitations in human history,the telephone is one of the most important inventions in human history
1426,I poured kerosene on top of the cereal as my breakfast,I poured milk on top of the cereal as my breakfast
1427,he is a pitiful person because he has no home,he is a pitiful person because he has no debit
1428,the food tastes very bad and I enjoy it very much,the food tastes very good and I enjoy it very much
1429,the bar is a good place to prepare for the exam,the bar is a good place to have fun
1430,"if you don't know how to cook it, you can follow a recipe","if you don't know how to cook it, you can follow a menu"
1431,nearsighted people need glasses to read,nearsighted people need glasses to sleep
1432,many precious stones are used in jewelry,many precious stones are used in cooking
1433,we built up an army to protect ourselves,we built up an army to protect the enemy
1434,"when you are drowning, a lifeguard can save your life","when you are drowning, a computer can save your life"
1435,I shouted at the top of my voice to avoid her attention,I shouted at the top of my voice to catch her attention
1436,I felt the building was shaking and then I realized it was rainy,I felt the building was shaking and then I realized it was an earthquake
1437,they gave me a crutch to sit when I came in,they gave me a chair to sit when I came in
1438,children can't learn to cry until they reach a certain age,children can't learn to read until they reach a certain age
1439,sleeping at night is for not being tired,sleeping at night is for not being hungry
1440,I will make sure the door is locked when I leave the house,I will make sure the door is open when I leave the house
1441,I was so angry to see an old friend in a foreign land,I was so happy to see an old friend in a foreign land
1442,she had a bad day and she felt white,she had a bad day and she felt blue
1443,"when my plants are dry, I water them","when my plants are dead, I water them"
1444,I enjoy the sunshine in the afternoon very much,I enjoy the sunshine in the evening very much
1445,I was very happy because my little brother was born yesterday,I was very happy because my big brother was born yesterday
1446,I kicked the teammate into the goal and win the football match,I kicked the ball into the goal and win the football match
1447,it's really cold so I light a screen to get warmth and light,it's really cold so I light a fire to get warmth and light
1448,today I washed soup,today I washed vegetables
1449,I tripped on a rock and then fell,I tripped on a rock and then flied
1450,I drove from China to the North Pole,I drove from China to Russia
1451,many trees fell to the ground during the windstorm yesterday,many clouds fell to the ground during the windstorm yesterday
1452,a salesman can fool a product,a salesman can fool a customer
1453,you can gather energy by eating food,you can gather energy by taking exercise
1454,anything can't be bought for the high price,something can't be bought for the high price
1455,I bought him knowledge,I bought him a book
1456,I left my car in my wallet,I left my wallet in my car
1457,you need the right swimsuit if you want to fish,you need the right bait if you want to fish
1458,we need a referee to ensure the game is fair,we need a referee to ensure the game is fantastic
1459,I send my new book to bookstores to sell it,I send my new book to hospitals to sell it
1460,I caught this rabbit in the forest,I caught this rabbit on the Moon
1461,"when I am not fit, I will go to the hospital to ask help from a doctor","when I am not fit, I will go to the pharmacy to ask help from a doctor"
1462,we can find sugar in ocean water,we can find salt in ocean water
1463,a thousand microphones are going to listen to his speech today,a thousand people are going to listen to his speech today
1464,I lost my car in the traffic jam,I lost patience in the traffic jam
1465,the criminal was sent to prison and he felt very regretful,the criminal was sent to prison but he felt very regretful
1466,the cry of the audience is the best encouragement for the comedian,the laughter of the audience is the best encouragement for the comedian
1467,I lay in the bed to have a sleep,I had a sleep to lie in the bed
1468,I felt very nervous after taking the midterm,I felt very nervous before taking the midterm
1469,throw things you don't understand anymore into the trash container,throw things you don't want any more into the trash container
1470,you need to play baseball well before going to watch a baseball game,you need to buy a ticket before going to watch a baseball game
1471,every morning I read the news in the newspaper,every morning I read the news on the diary
1472,soccer ball is a kind of ball,soccer ball is a kind of sport
1473,I buy this book from the library,I borrow this book from the library
1474,drinking too much coffee can make you drunk,drinking too much vodka can make you drunk
1475,I am used to having a cup of coffee for waking up in the morning,I am used to having a cup of vodka for waking up in the morning
1476,grass is a common material for a bowl,glass is a common material for a bowl
1477,I need to see a psychologist because I had violent stomach pains,I need to see a doctor because I had violent stomach pains
1478,my lifestyle is green and I plant trees every year,my lifestyle is green and I plant fertilizer every year
1479,I bought a ticket and watch a movie at the cinema,I bought a ticket and act in a movie at the cinema
1480,It's very interesting to ride a cat on the grassland,It's very interesting to ride a horse on the grassland
1481,they began to enjoy being together after they fell in love,they began to enjoy being apart after they fell in love
1482,parents often use chocolate to reward their children,parents often use chocolate to punish their children
1483,Tom was very sad because he was bullied in school,Tom was very happy because he was bullied in school
1484,eating salty food would make you hungry,eating salty food would make you thirsty
1485,using a washing machine to wash T-shirt is very convenient,using a washing machine to wash vegetables is very convenient
1486,I paid to grow longer hair,I wait to grow longer hair
1487,I have a basket for drinking water in my office,I have a bottle for drinking water in my office
1488,we use shoelaces to ensure that shoes will not drop when walking,we use glue to ensure that shoes will not drop when walking
1489,my dream is to be a teacher because I want to share my knowledge,my dream is to be a teacher because I want to share my food
1490,child need to be taught how to read,child need to be taught how to laugh
1491,the taste in art is a subjective matter,the taste in art is an objective matter
1492,the airport is one of the fastest things in the world,the plane is one of the fastest things in the world
1493,the weight machine showed that I had grown taller,the weight machine showed that I had grown fatter
1494,you need to pass exams if you want to graduate,you need to invigilate exams if you want to graduate
1495,"although he is rich, he lives a frugal life","because he is rich, he lives a frugal life"
1496,I carried a fork to eat soup,I carried a spoon to eat soup
1497,"to be a husband, you need to accept strict training","to be a pilot, you need to accept strict training"
1498,the dog barked all day and I had to wear nasal plugs,the dog barked all day and I had to wear ear plugs
1499,I prepared a rocket to go to mars,I prepared a rocket to go to American
1500,I will wear thicker clothes in winter to stay warm,I will wear thicker eyeglasses in winter to stay warm
1501,I pulled the door shut with my hand,I pulled the door shut with my eye
1502,I used my third hand to lift my coat,I used my second hand to lift my coat
1503,cut your toenails if you don't want your socks to have holes,cut your fingernails if you don't want your socks to have holes
1504,after finishing all my work I felt very relaxed,after finishing all my work I felt very stressful
1505,you can find rocks underground,you can find clouds underground
1506,we added steel to keep the fire burning,you can find rocks underground
1507,it's ok to go when the traffic light is red,it's dangerous to go when the traffic light is red
1508,people in the desert often look forward to flood,people in the desert often look forward to rain
1509,my favorite thing is surfing in the swimming pool,my favorite thing is surfing in the sea
1510,today I forgot to bring my mouth and couldn't have lunch,today I forgot to bring my chopsticks and couldn't have lunch
