id,FalseSent,OptionA,OptionB,OptionC
1009,he swam in the fish tank,once when he swam he saw fish by his side,he bought a new fish tank,a fish tank is too small for a person to swim in
1010,he vowed to love her for the rest of day,a day is too short to make a vow,they have been married for 50 years,he got an incurable disease
1011,he skipped the final exam to pass the course,people won't get grades to pass the course if they skip the exam,he thought he would do well in the final exam,he has failed this course twice
1012,he felt depressed at the good news,he is the last one to know the good news,good news won't make people feel depressed,he told everyone the good news
1013,the writer won an award for his new movie,a movie is not written but filmed,his novel was adapted into a famous play,the writer won many international awards
1014,he took a photo of all human beings,everyone loves his photos,he is a photographer,it's hard to capture everyone on earth in one picture
1015,thank you for your selfish action,he stepped forward and helped other people,he has always been selfish and people got used to it,selfish actions are bad behaviors that are not appreciated
1016,the reporter awarded the Olympic champion,the champion and the reporter are good friends,reporters collect news and they don't award,Olympic champions are awarded specially designed medals
1017,the impressive speech was interrupted by hiss,hiss is made to bad presentations or expressions,he is good at delivering impressive speeches,the outstanding speaker was hissed for his absence
1018,he struggled to make his nightmare come true,he struggled to get some good sleep but always had nightmares,last night he had several nightmares,people tend to avoid things in nightmares happen
1019,he changed his job due to high salary,high salary attracts people to stick to their job,his friends got a higher salary than him,people suggest that he change his job for a better salary
1020,I got a stomachache and went to the dentist's,he went to this dentist's every time something's wrong with his teeth,dentists are usually not good at stomach diseases,the dentist invited me to lunch
1021,it took 7 days to receive the email,it's a long email,email is fast to deliver messages,the email was forwarded by a third party
1022,he ate a cake to celebrate her birthday,he loves eating cakes,some of the cake should be eaten by the birthday star,she invited him to come to her birthday party
1023,he escaped the bullet and died,he was hit by the bullet and was survived because it's not very serious,he was survived because there was no bullet in the gun,"if the bullet misses, the target won't be injured"
1024,the chalk read an interesting story to the students,chalks are lifeless and unable to read anything,the story is about a special chalk,students use chalk to write down interesting stories
1025,the treasure is inherited from his descendants,his descendants found the treasure left by his ancestors,his descendants fight to inherit his treasure,treasure can only be inherited from people born earlier
1026,he threw a plate for his dog to catch,he was angry at his dog so he threw a plate at it,a plate is too fragile to play with a dog,he threw some food in his dog's plate and it caught them all
1027,she put off running shoes before jogging,she has two pairs of running shoes for jogging,running shoes are necessary for jogging,she found her running shoes broken
1028,he continued to read the book to the first page,the book was read many times and the first page's gone,the book he read has many pages,pages come later have larger page numbers
1029,students like it when teachers let them go later,the students are so noisy and the teacher couldn't finish in time,longer school time leads to more homework and less free time,most students came late so the teacher asked them to go later
1030,the big hand on a watch shows the day,the big hand on the watch walked more slowly than the small hand,his watch had two digital bits to show the day,a day is too long to be shown by hand on watches
1031,he maintained balance and fell to the ground,maintaining balance can be really tiring,when people maintain the balance they will stay still,he fell to the ground and stood up again in balance
1032,he bought his new coat at the grocery store,he went to buy vegetables with his new coat on,the owner of the grocery store wore a coat,a coat is not sold in grocery stores
1033,the traffic light turned white from red,the traffic light has a weak power supply,the pedestrian in front of the traffic light was blind,white is not a color of traffic lights
1034,she smells terrible after a shower,when people have a shower they wish to have a better smell,she hadn't been taken any shower for 5 days and she smells terrible,the water is terribly hot today
1035,he put on a t-shirt and go skiing,he has no other clothes left before he went skiing,he found a t-shirt on the way of skiing,a t-shirt is too thin to withstand skiing weather
1036,he received many complaints at his birthday party,many people invited didn't come to his birthday party,he works as support staff and listened to the complaints from customers,"complaints annoy people, which should not happen at a birthday party"
1037,he surfed the sea to check his email,he brought his laptop to the beach,checking email requires an internet connection,he received an email from his friend to invite him to surf the sea
1038,I gave him some review on his future career,A thorough review is helpful for future plan,he made plans of future career based on my review of his past career,to review is to look back and summary
1039,she planted a tree in her bedroom,a bedroom can be too small for a tree to grow,she planted many flowers in her bedroom,she is good at planting trees
1040,the policeman put the witness in jail,the witness is asked to testify face to face,jail is for those who violate the law and witness identifies those who violate the law,the witness once committed a crime
1041,he printed out the form and crossed out the blanks,blank has nothing on it so it can't be crossed out,he printed out the wrong form which has too many blanks,he printed out the form and filled in the wrong text
1042,the turtle broke the eggs it laid on land,turtles break their eggs when the environment is not suitable,the land is going to be flooded and the eggs will be washed away,turtles breed by laying eggs and protect them
1043,the shipowner adjusted the wind to go faster,an unpowered ship won't move without wind,wind can't be controlled by human beings,the shipowner commanded to go faster when he felt the wind
1044,he extinguished the cigarette and began to smoke,he only smoked half the cigarette before he extinguished it,to smoke the cigarette needs to keep burning,smoking is forbidden here so he extinguished his cigarette
1045,the bride got a bouquet after the wedding,she made the bouquet herself,brides use bouquet to pass their luck to bridesmaids,no bridesmaid managed to catch the bouquet
1046,she put her earrings back to the seasoning box,she wore this pair of earrings when she bought the seasoning box,she forgot to take off her earring before she cooks,seasoning box is for seasoning but not earrings
1047,a short lunch break from work makes me eat slowly,meal break is the only time when workers are allowed to eat,I brought from home to work today,eating slowly is good for our health
1048,every time I wrote a reply when he received my letter,I didn't agree with what he said in the reply`,it took so long for him to receive the letter,usually the one receives the letter write the reply
1049,they were not satisfied with each other and got a marriage,people usually don't marry the one they are not satisfied with,the couple is not satisfied with their wedding,their parents are not satisfied with their marriage
1050,the waiter gave him a bill to order food,he was still hungry after eating the food he ordered,bill shows the dishes that have been ordered,he thought there's something wrong with the bill
1051,he lit a torch to see in the daytime,there's sunlight in the daytime so a torch is of no use,the weather was cloudy during daytime,he forgot to extinguish the torch
1052,I put all my stuff in the drawer to travel,I don't have too much stuff with me,drawer is too small and inconvenient to carry around,I found that I left in the drawer before departure
1053,he used a blow dryer before he washed his hair,the blow dryer he used before was broken,he was wearing a hat before he washed his hair,blow dryer is of no use to dry hair
1054,he used chopsticks to eat soup,he was learning how to use chopsticks,a chopstick fell into the soup bowl,soup is liquid but chopsticks are used for solid food
1055,DVD can be used to search for information,he searched the DVD that has the information he needs,he inserted the DVD into his computer,DVD is a storage medium that has no function of searching
1056,I ate watermelon and my teeth turned yellow,the watermelon was ripe and its peel turned yellow,watermelon has red juice,I forgot to brush my teeth after I ate a watermelon
1057,she took off socks and washed her hands,she used hands to take off her socks,socks are for feet,the hands were washed because they held smelly socks before
1058,the cow jumped over the moon and escaped,cows can't jump as high as the size of the moon,the cow was determined to escape no matter what it costs,the cow jumped the highest among all the cows on the farm
1059,he left her a lot of bills in his will,people leave valuable things in their will,he won't be able to pay off the bills,the bills are all under her name
1060,the little girl squatted and rang the bell,after she rang the bell she squatted to pretend there's no one at the door,a bell is usually high on the door and difficult for a girl to reach,the bell was broken by the little girl
1061,he stretched out on the economy class of the flight,it's important to stretch out after a long-trip flight,he could only afford the ticket of economy class,economy class is the cheapest with no enough space to stretch out
1062,he walked through the railway to another room,the railway connects rail stations,he set up a toy railway in the room,the railway passes by the window of the room
1063,the ground was covered with sugar overnight,a huge amount of sugar was made last night,a truck carrying sugar fell over,sugar don't fall from the sky
1064,the garden of flowers is in the middle of the table,the table is moved into the garden for a picnic,the tablecloth has the pattern of flowers in a garden,a garden is too big to be put on a table
1065,Tom wore pajamas for a job interview yesterday,Tom is an interviewer,Tom applied for a job as a pajama seller and there's an interview yesterday,a job interview is a serious occasion and pajamas are too casual
1066,she put the guitar on the top of the mountain,she is a famous guitarist,the mountain is not a proper place to put a guitar,she played a piece of guitar music on the top of the mountain
1067,he ate some sleeping pills in order not to fall asleep,he couldn't sleep after eating fake sleeping pills,he forgot to eat his sleeping pills,sleeping pills help you sleep quickly
1068,she got a bad grade after a semester of hard study,this semester she wasn't the 1st prize,she always gets a good grade in her study each semester,good grade can't be achieved in a short time
1069,her new song was popular on the theater screen,the singer was invited to play a part in the movie,she loves to go to the movie theater,a theater doesn't play a song
1070,it's 6 o'clock and the new year is coming,each day doesn't start at 6 o'clock,the new year festival started at 6 o'clock,"when the new year came in a country, some other countries are already 6 o'clock"
1071,the bird built a nest on the bottom of the tree,the bird has been on this tree for a long time and it always builds a nest here,nests on the ground will be easily damaged,there are many nests on the tree
1072,she turned on the radio and the room became bright,a radio can't emit light,the radio played some bright music,music from the radio echoed in the room
1073,he used a surfboard to surf the internet,a video of him surfing on a surfboard was uploaded to the internet,he surfed the internet to buy a surfboard,the internet is virtual so it can't be surfed with a surfboard
1074,he pressed the accelerator to slow the car down,the car in front of his car slowed down,the accelerator on the car was broken so the car slowed down,an accelerator is a device to speed the car up
1075,I remember they built a snowman last summer,"to build a snowman people need snow, which won't occur in summer",last summer they printed the picture of the snowman they built,"in summer, they were planning to build a snowman this year"
1076,he found he had more money after he paid the bill,after he had paid the bill they split it,paying the bill uses his money so he can't have more,he got his salary the day he paid the bill
1077,she walked to the gas station to refuel her car,her husband walked to the gas station for a ride later,when her car was being refueled she walked around the gas station,people refuel the oil tank in the car so the car needs to be driven to the gas station
1078,after one day of exercise he became strong,the condition of strong requires a long time to achieve,he exercised for a whole day yesterday,when he was at the gym the people around him are all strong
1079,he folded his umbrella when it started to rain,he bought a new umbrella today and he cherished it a lot,when umbrellas are folded they don't provide shelter from the rain,he likes rainy days
1080,she is a vegetarian and refuses to eat food,a vegetarian can have different degrees of severity,vegetarians also need food to live,she became a vegetarian this year
1081,he ran out of cola while driving to work so he walked there,he wanted to drink cola so he walked to a store to buy it,he found cola very refreshing when he drove to work,cola is a kind of drink and has nothing to do with the power of a car
1082,mark is a pilot and he assembled an aircraft,he flew the aircraft after the aircraft is assembled,a pilot is usually not in charge of the assembling work,he wanted to be an assembly work after he retires from his work as a pilot
1083,jim wrote a message with a finger on a piece of paper,he didn't have a piece of paper to write on,a finger doesn't contain any color ink,he wanted the message to be delivered as soon as possible
1084,the businessman went to the airport to catch a mouse,flights were unavailable because of a mouse bit the wire of the airport,the airport is in a rat disaster,businessmen are not good at catching a mouse especially at the airport
1085,he stretched his arms and caught the ball with his feet,his friend passed him a football,he is confident that he will catch the ball with his feet,feet aren't at the end of your arms
1086,the difference between the twins' birth time is one day,a pair of twins usually celebrate their birthday in one day,a pair of twins are delivered one by one closely and a day is too long,the next day the nurse found they forgot to record the twins' birth time
1087,he found enough evidence to commit a crime,he decided to commit a crime but he forgot one important evidence,as one of the group which committed a crime he helped find some evidence,evidence are not used to commit a crime
1088,jim cut his finger with the soap,he cut his finger when he was trying to cut the soap,soap is not sharp enough to cut one's finger,soap helps clean the wound on his finger
1089,tina told her dog to clean the apartment,tina told her dog not to mess up the apartment but it didn't understand,a dog isn't good at cleaning an apartment,tina told her daughter to take the dog away while she was cleaning her apartment
1090,jack had bad breath so he ate a garlic,garlic will cause bad breath after people eat it,he loves to eat garlic,the bad breath he had is worse than a bad breath caused by garlic
1091,susan cleaned her room and she had more trash,trash inspired her to clean her room,to clean a room is to sweep the dirt and get rid of trash,susan collected the trash thrown everywhere and put them in the trash can
1092,he ate hot pot at a fast food restaurant,hot pot is not served as fast food,he's still hungry after a meal of hot pot,he is a frequent guest of the fast food restaurant
1093,he felt hungry and went to a gym to eat,he went to a gym so that he could be inspired by other people who are working out,he wanted to lose weight,a gym doesn't serve any food and people eat before they work out
1094,he suspected there was a mouse in the garage so he brought a dog home,the dog regarded the garage as his home and defended its territory,he suspected that the mouse was attracted by the leftover of their dog's meal,a dog and a mouse don't infringe each other
1095,as a geographer he created the Earth's surface,Earth is created through billions of years,he created a new way of describing the Earth's surface,he was doing research on how the Earth's surface is created
1096,joe stole some money from his own pocket,the money in his pocket was stolen,he put the money he stole in his own pocket,to take money from one's own pocket is not stealing
1097,the child looked down to find stars in the sky,for a people on earth the stars are above our eye level,he had a book about stars in the sky,the meteor shower fell out of his horizon
1098,he felt like suiciding and the doctor lent him a gun,doctors helped us when we are in mental or physical illness,he tried to suicide with a gun,people are not allowed to use a gun to hurt anyone
1099,tom watched fictions on magazines,the tv was on but he was reading magazines,the fiction was the original idea of the tv series,fictions are published on books
1100,john got up early to take a good rest,to take a good rest one should sleep long enough,he got up early to rest at work,john slept early last night to take a good rest
1101,susan disconnected the phone to wait for another call,there won't be another call today,the quality of the call was terrible so she disconnected the phone to restart,if a phone is disconnected it will not ring
1102,she bent her eyebrows to jump up,her fake eyebrows will bend if she moves a little,she's so happy to jump up that her eyebrows bent,"people use their leg to jump up, not their eyebrows"
1103,anne dropped a waterfall on the floor,anne blocked the sink and a small waterfall formed,a waterfall falls from the cliff of a mountain,the waterfall is as high as a 20-floor building
1104,the experienced singer captain the ship,the singer hired a ship to go on vacation,the captain of the ship invited the experienced singer to perform,a singer doesn't know how to lead on a ship
1105,he looked through a magnifier to observe a cell,he was interested in biology experiments like observing a cell,magnifier is made of glass that has a special curve,a magnifier isn't accurate enough to observe a cell
1106,he put on his shoes to see well enough,the shoes he put on are good enough on this occasion,he can't see his shoes well enough to put them on,shoes are worn on the feet and have nothing to do with eyes
1107,josh stepped into a seashell when he walked along the beach,walking along the beach is like stepping into a new world,josh found a huge number of seashells on the beach,seashell isn't big enough for josh to step into
1108,he walked barefoot over broken glass,after he passed barefoot the glass was broken,if people walk barefoot they are fragile to sharp things,the glass has a pattern of broken effect on it
1109,jefferson forgot to shut up before he did some exercises,people can talk or keep silent when they do some exercises,jefferson was speaking too loudly that many people asked him to shut up,people tend to grit their teeth when they exert their maximum strength
1110,he received a degree from his family,receiving a degree is for the next level of learning,a degree is granted from a professional institution and family is not one,everyone in his family received at least a bachelor degree
1111,james liked his car for a long time everyday,his car has been broken for a long time,james bought his new car recently,the emotion of like doesn't have an accurate time period
1112,tony used his drakes to stop his bicycle,tony rode his bicycle to drive his drakes to the corner,drakes don't provide friction to stop the wheels,tony stopped his bicycle when someone asked about his drake
1113,she found eagles at the bottom of the sea,eagles dive into the shallow sea to catch fish,eagles are birds that can't live in the sea,"the boat ""Eagles"" sunk to the bottom of the sea"
1114,he used his id card to pay the bill,he forgot to bring his wallet so he deposited his id card,he left his id card at the restaurant after he paid the bill,id card's only value is to identify someone
1115,he is the first man born on the moon,he said he was born for a career of an astronaut,he was born to be the son of the first man who's been to the moon,environment on the moon is not suitable for the human being to live
1116,joe slept on a banana peel,a banana peel is too small for a person to sleep on,he ate a banana before he went to sleep,eating too many bananas makes people want to sleep
1117,the newborn monkey drinks banana from its mother's breast,newborn monkey can't digest a banana,banana is a fruit grown on banana tree,the newborn monkey stick to its mother's breast when offered banana
1118,carrots make rabbits sick,when rabbits get a cold they still need food like carrots,rabbits eat carrots as their major food,carrots grow in the ground
1119,josh thought of an idea and wrote a history,josh had a special idea of the cover of this history book,the idea josh thought of was highly praised in the history,history must have happened rather than
1120,jane drove so fast that she got a movie ticket,jane drove fast to arrive at the movie theater in time or the ticket would be expired,driving too fast is dangerous and always punished,jane played a role in a movie where she drove fast
1121,jack ignored his sick friend to check on her,jack checked on his sick friend but ignored her reply,she forgot that her friend is ill,to check on someone one ill must contact him/her
1122,he got punished by the boss because of his hard work,people who work hard shouldn't be punished,his colleagues don't like him for his hard work paid off,his hard work uncovered many bad behaviors and the boss punished many employees
1123,a boat floated in the bowl,the boat sunk but the bowls on it floated,this was a cargo ship full of bowls,a bowl is too small for a boat to float
1124,fred turned up the capacity of the radio,a radio can't hold other things,the radio broadcast a way to turn up the capacity of one's home,fred turned up the capacity of his desk so he can put a radio on it
1125,alex drove the van into the lake,alex got out of the van without pulling the handbrake,alex found his old van and broken,a van can't run on a lake
1126,frank brought a can of jewelry from the grocery shop,jewelry are not sold in a grocery shop and they are not sold in a can,frank put all his jewelry in an empty can brought from the grocery shop,the owner of the grocery shop was broken so he sold all his jewelry
1127,mary wore a pretty watch to the dancing party,she talked about her pretty watch with her partner at the dancing party,she led a life of selling the pretty watch,a dancing party is not a good place to show off one's watch
1128,tom fell and broke his heart,breaking one's heart is about emotion,his girlfriend broke up with him and his heart was broken,tom fell in love with his ex-girlfriend
1129,he ate his chopsticks with chop suey,chop sticks are made of wood while chop suey is made of vegetables and meat,chop suey is a dish while chopsticks are tools to eat,it's hard to eat chopsticks while it's easy to eat chop suey
1130,the shower curtain tastes good,there are many food pictures printed on the shower curtain,he ate something tastes good behind the shower curtain,shower curtains are made of plastic
1131,jamie served delicious food on a laptop,he showed many pictures of delicious food on his lap top,laptop can't be a container of actual things,jamie learned to cook with his laptop
1132,he wrote a letter on tv,he put the paper on tv and wrote a letter,a tv series played that he wrote a letter,tv doesn't have a function of writing a letter
1133,judy used an earpick to clean between her teeth,an earpick is not designed for teeth,she held the earpick between her teeth to free her hands,judy bought a new earpick and it's quite expensive
1134,suzie bought her parents a new car for her birthday,suzie drove her new car to her parents' to celebrate her birthday,suzie's parents gave her a huge amount of money,people usually receive on their birthdays
1135,lily hid behind a hair,a hair is too thin for lily to hide behind,lily was discovered because of her hair,lily hid her hair behind a wig
1136,she opened the shower curtain when she woke up,she took a shower in the morning,shower curtain is not for shielding light during the night,she's too tired to take a shower so she slept early
1137,lewis was having an affair with his girlfriend,his girlfriend caught him having an affair,the relationship between a couple is not an affair,he promised his girlfriend that he'll never have an affair
1138,hats expose the head to sun and rain,hats function as a shelter for heads,hats sell well when there's sun or rain,"if the hat is gone, the head will be exposed to sun and rain"
1139,jack handed a word to her,jack told her what the word means,jack was angry and he has a word with her,a word can't be handed without writing it down
1140,he lent me some bills,he lent me some money to pay the bills,bills need to be paid and are non-borrowable,he gave me the bill because I've borrowed from him
1141,I gave him the key to break the door,he couldn't find the door,a key is used to open a door safely,he found the pattern on the door annoying
1142,lucy drank some tea to serve the guest,the guest didn't like the tea lucy made,tea is for the guest to drink,it's the first time the guest came to lucy's
1143,paul has a picture taken with two Americas,America is too big to be in the same picture with a man,every time paul went to America he took a picture,paul has been to America twice
1144,the boss made him do hard work all year,he is the best employee of the year,an employee needs some rest after a while,more work hours lead to a higher salary
1145,I heard her singing in the next city,it's impossible for a human voice to pass that far,she works as a singer in the next city,I'm going to go to her concert in the next city
1146,I could hear the rain pattered through the window,I forgot to close the window before I went to bed,the rain won't make any sound if they pass through the window,I love rainy days
1147,my boyfriend grew me some roses on Valentine's Day,couple send and receive mature roses on Valentine's Day,my boyfriend told me that he didn't love me any more on Valentine's Day,my boyfriend owns a farm planted full of roses
1148,chris lived at the bus stop,bus stop can't accommodate anyone,chris' house is near to the bus stop,chris always goes to work by bus
1149,our teacher told us to make more mistakes in the study,to make mistake is not good in study,our teacher became angry if we made many mistakes,we were told how to correct mistakes in study
1150,she made a beautiful cloth for the dinner party,a cloth can't be worn for any occasion,beautiful cloth can be material for beautiful clothes,the dinner party had a beautiful tablecloth
1151,the advanced auto machine will cost us a lot of labor,the advanced auto machine was broken soon,we spent a lot of money on the auto machine,using a machine is to replace labor
1152,his success is due to his poor work,"despite some of his poor works, other outstanding works led him to success",he succeeded in improving his poor work,a poor work will not be thought highly of
1153,he turned to his teacher for a question in the exam,students are not allowed to discuss during an exam,he is the best student in his class,this was an open book exam
1154,he tried hard to succeed to frustrate his parents,people's parents naturally want them to be successful,he found his parents strict with him,his parents told him it's important to lead a happy life
1155,adults are not allowed to drink beer,adults are old enough to decide whether they want to drink beer,this restaurant doesn't serve beer,adults will become drunk if they drink too much beer
1156,people became ignorant after they read the news,people learn from what happened in the world,some of the news can be fake,ignorant people don't usually read the news
1157,caroline asked her dog a name,carioline asked her friends if they have any good name for her dog,a dog can't answer any question,caroline was asked to change the name of her dog
1158,he prevented the car from going on the road,the road is for cars to go on,he found a lot of traffic on the road so he decided not to drive,there's something wrong with the car so he pulls over it
1159,franklin is dancing in the choir,his dancing show was after the choir's show,a choir has several singers and performs singing,singer franklin found dancing very interesting
1160,Fiona wrote a shopping list after she went to the supermarket,she forgot to buy items on her shopping list,she lost her shopping list at the supermarket after she left,a shopping list is a reminder of things to buy
1161,police officers enjoy eating donuts in an emergency,police officers don't eat anything when they are handling emergencies,police officers use donuts to relieve their stress after emergency,we turn to police officers for help when we are in an emergency
1162,jill wrote a book with monsters,the book is about jill and the monsters,monsters don't write as human do,jill was so devoted to his book that other people saw him as a monster
1163,she flew on a fly abroad,she found a fly on her way abroad,a fly is too small to be a transportation,the fly is of a foreign species
1164,we talked too much that we all puked later,conversations don't cause puke,we talked too much at the dinner table,the topic of our conversation is about food
1165,tucker overdosed on candy,tucker's medicine was replaced with candy,eating too much candy is not overdosing,tucker ate candy to resist withdrawal reaction
1166,he got dirty after he bought the house,the construction worker bought the house he built,he decided to decorate the house himself after he bought the house,buying a house doesn't make you dirty
1167,Ariel wanted to surprise Beth by calling her a puppy,Ariel called Beth that he will give her his puppy,Ariel found Beth's lost puppy and it's a big surprise to her,calling someone puppy won't make him feel surprised
1168,larry put his swimsuit on for the meeting,a meeting doesn't hold in water,larry presented his new design at the meeting,larry felt comfortable in his swimsuit
1169,he put an apple in his mouth,eating an apple requires a few mouthfuls,he failed to show off his big mouth,"an apple a day, keeps the doctor away"
1170,he printed a stamp on the letter,a printed stamp made the letter undeliverable,he forgot to write address on the letter,the glue for stamps is used up
1171,alfred stopped at the drive-thru for a lobster,"although he ate lobster for lunch, alfred still want some snacks",a drive-thru only serves fast food,alfred stopped at the drive-thru with his car full of lobsters
1172,"on the day of the concert, we went to the dining hall very early for seats","on the day of the concert, we ate very early",concert seldom hold in the dining hall,we met at the dining hall and set out to the concert
1173,they bought paper made of steel,the steel company needed a lot of paper for trade records,steel is not a good material for paper,the paper is cut by a steel arm
1174,they hung out at the meeting room,the boss told them to relax during the meeting,meeting room doesn't provide entertainment,they were present but their minds were absent
1175,joey used a mop to dry himself,mop is used to absorb water from the floor,joey was lying on the floor,joey found his towel used as a mop
1176,wildfires are controlled by street fighters,street fighters don't know how to put out a fire,street fighters are the victims of the arson,the wildfires spread to the house of street fighters
1177,honey can understand each other's dancing,people love to dance with their honey,honey is inanimate and can't dance,the honey is so sweet that he danced after he tasted it
1178,he looked at the watch worn on his waist,when he was standing he felt his watch rubbing his waist,a watch is too small to be worn on one's waist,he found his watchband used the same material as his waistband
1179,sleeping pills keep him warm in the wild,after eating sleeping pills he dreamed of himself feeling warm in the wild,sleeping pills only make people feel sleepy,he put sleeping pills in the fire to keep him warm in the wild
1180,a secret is something that everyone knows,people don't usually tell the secret to everyone,he told the secret to each person he knew,everyone was wondering what the secret was
1181,he ate too much that his fart was sweet,he found his fart overshadowed the sweet of the food,he ate too many sweet things like candy,no fart has a good smell
1182,he chewed his food without swallowing,he found the food too hot for him to swallow,food won't enter our stomach without swallowing,"the more people chew, the better the food tastes"
1183,he brought his gum for the hunt,gum is of no use in a hunt,he spitted the gum before he left,swallowing gum is bad for ourselves
1184,the yard was wet after several days of sunshine,the yard is very big,sunshine brings energy to dry the yard,sunshine makes people feel comfortable
1185,the ship sailed across the iced waters of the Atlantic,in the Atlantic the water was cold all year round,the temperature is getting lower and lower,a ship can't sail across the ice
1186,the ship turned sharply to get a collision,there was something wrong with the helmsman of the ship,the ship has been through several collision,a ship may sink after a collision
1187,the artist added more melodies on his painting,the artist drew some melody sighs on his painting,melodies are elements in music,his peer commented that his painting missed something
1188,he found a bat to play soccer,he was annoyed that he hit the soccer with his bat,bat is not used in a soccer game,the ball stuck on the tree so he used a bat to reach it
1189,peter is walking on the river of the bank,there is a river alongside the bank,peter found himself good at walking,a bank doesn't have a river and a person can't walk on a river
1190,the student attended several lectures to teach different professors,the university allowed students to attend different lectures,he was confident that he would enjoy himself in all these lectures,a student doesn't find ways to teach professors on purpose
1191,all the guest of the party sat onto the cake,since there were many guests at the party they bought many cakes,cakes are too soft to be a seat,all the guests sat on a seat to eat cake
1192,mia got a discount on her groceries so she spent more money,mia found she didn't have much to eat at home so she bought more groceries than before,mia brought her coupon to get a discount at the grocery store,a discount means you don't spend more money than the prices of your groceries
1193,the sun is rising and it's getting dark outside,every day the sun rises from the east,the sun brings light that dispels the darkness,most parts of the world were dark before the sun rose
1194,the conversation is at the beginning so I hung up the phone,I didn't know how to hang up the phone,having a conversation over phone requires someone the hold the phone,we were having a happy conversation over the phone
1195,a canal was constructed next to the farmland for flood,a canal was constructed to prevent the farmland from flood,a flood is bad for farm products to grow,it rained heavily and the canal flooded
1196,the skydiver glided safely to the seabed,a skydiver can't glide in the sea,the skydiver didn't find a place to land,he is good at swimming
1197,after becoming immune to the disease the baby received the vaccine,the vaccine expired before it was injected to the baby,the vaccine played an effect slowly on babies,the vaccine helped the baby to be immune to the disease
1198,todd opened the window to let the fresh air out,todd recently bought an air purifier at his home,fresh air is good for todd's health,most fresh air comes from outside
1199,the dog chased the cat up the tree,dogs don't know how to climb a tree,the dog waited under the tree,cats are good at climbing trees
1200,jane painted a chair and sat on it,jane painted the chair blue,a painted chair needs some time to dry,the chair was a birthday gift and jane likes it very much
1201,lily ordered a steak at a vegetarian restaurant,the owner of the vegetarian restaurant loves steak,he used to be a vegetarian but now he prefers a heathy lifestyle,vegetarian restaurant only serves vegetarian food
1202,he wanted to lose weight to fit into future clothes,some clothes only have small or medium sizes,he wanted to lose weight to be fit,future clothes don't have a fixed size
1203,"there is a huge, splendid cattle standing on the top of the hill",a cattle can be strong but not splendid,the view on the top of the hill is splendid,even a huge cattle doesn't look big from the top of the hill
1204,he found cash of one million dollars in his wallet,cash of one million dollars can't be put in a wallet,he just cashes one million dollars from the bank,it's inconvenient to bring money in the pocket so he bought a new wallet
1205,he parked his car in the wrong place so he was asked to sell it,he was a new driver who just got his driver's license,people who park illegally won't be punished to sell the car,when he came back he found his car at a different place with a notification of towing fee
1206,sally hatched some eggs for the Christmas eggnog,some of the eggs prepared for Christmas eggnog were hatched,eggs hatched will become chicken which can't be used for eggnog,sally bought a hatcher recently
1207,cindy said she was too good to go to school,cindy wanted to go to school on her own,cindy said many students in her school are not feeling good,if a student feels good he should go to school
1208,the old man was praised for littering in public,someone picked up the litter he threw in public,people won't be praised for bad behavior in public,he didn't realize that the rubbish he held fall off his hand
1209,jones gained some weight and his clothes fit loosely,jones bought some clothes of larger size,when people lose weight they become slim,jones wore less because he had a stronger body
1210,he left his dog in his office when he headed for work,when people work they are usually in their office so the dog is not left,his dog loved to stay in his office,he got a promotion at work
1211,the government built an aircraft roadway in the train station,aircraft roadway only allows planes to take off and land,the old facilities in the train station need to be rebuilt,the government planned to build more aircraft roadways this year
1212,the girl licked her fur carefully,the surface of a girl's body is skin,the girl had a pet and she liked her very much,girls often take good care of their skin
1213,to accommodate the bugs he converted the sofa into a bed,when he has a fight with his wife he always accommodates himself in his sofa,sofa of the modern times can be converted into a bed easily,bugs are usually small and they don't need a bed for human
1214,my hands are tired because I have been standing up all day,sometimes I'm so tired that I have to hold something in my hands to keep standing up,after standing up all day I use my hands to massage myself,people don't use hands to stand up
1215,joanna made a pot of chill for dinner,to resist chill he made himself a hot dinner,chill is about temperature or feeling so it's not edible,eating dinner alone makes joanna feel chill
1216,penguins are fish that cannot fly,penguins belong to a kind of bird,fish generally don't fly,penguins are used to live in cold places like Antarctica
1217,I attend a class in the principal room,the principal room can only contain a small number of people,the principal taught a class I attended,in the middle of a class I was called to the principal room
1218,one of the common reasons for flight delay is the mood of the pilot,pilots are not allowed to bring their moods to work,if there was a flight delay the pilot may be anxious too,there are many reasons can cause a flight delay so it's quite common
1219,in windy days everyone had to hold onto their shoes,the wind was so strong that he couldn't hold the shoes he just bought,wind usually doesn't blow off your shoes,in windy days people find their shoes easily soiled
1220,after cooking I put the plate in the sink,plates are used to contain food,I washed the dishes right after everyone finished their meal,I found plates not enough so I washed several used plates in the sink
1221,the boy read the novel aloud to his blind grandfather,a blind person doesn't need louder sounds to hear clearly,the boy was proud of the novel he wrote,he didn't know some of the pronunciations in the novel
1222,after a long time of walking my foot went numb,walking accelerates the blood circulation in the foot,I tried to avoid a numb lifestyle so I started walking,during the walking I listened to Numb in a single loop
1223,the photographer skipped the moment when the kids smiled,a photographer usually takes photos of people having positive emotions,the kids were unhappy so the photographer had to tease the kid again,the photographer forgot to press the shutter button at the perfect moment
1224,I slipped on the cracked floor,I fell down and cracked several tiles,cracked floor has greater friction than a flat floor,the tiles used for my floor are of poor quality
1225,the bar closed early because it was crowded,the receptionist limited the number of new guests into the bar,a popular bar doesn't close early,there was a kind of wine most guests don't like
