Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
He feels alone because no one talk to him,He feels alone because everyone talk to him,Talking with other can release the feeling of alone,Feeling alone makes people upset,People feel alone when they are being abroad,getting talked to is not being alone,"If you are surrounded by people talking to you, you're not alone."
Everyone in that province is praying because of the severe earthquake,Everyone in that province is celebrating because of the severe earthquake,People celebrating when there is some good thing going on,New year is worthy celebrating,People will sing and dance when they are celebrating something,People don't celebrate earthquakes.,Severe earthquakes cause destruction and are not something to celebrate.
The phone didn't sell well because customers think it lacks of innovation,The phone sold well because customers think it lacks of innovation,Customers will be less triggered to buy a phone that lacks of innovation,Innovation is the key that help some cell phone companies success,Companies need to investigate a lot to innovate,People will not ordinarily buy a phone that is not innovative,"If a phone lacks innovation, it won't sell well"
People have a great probability to travel to Mars by space ship in the following decades,People have a great probability to travel to Mars by bus in the following decades,Buses cannot travel in space,Buses can run pretty fast on the road,Buses can carry lots of people,busses cannot fly,There are no roads to mars
Workers are ordered to wear helmet in order to keep themselves safe,Workers are ordered to wear underwear in order to keep themselves safe,Underwear won't protect people from accidents,Underwear makes people feel more comfortable to wear pants,Underwear is made of cloth,Underwear is not used to keep the people safe.,underwear is not so hard to protect the workers.
Diseases make people suffer from unpleasant feelings,Diseases make people enhance brilliant moments,Diseases will make people suffer,Some diseases are not curable,Diseases can spread among people,diseases bring on pain and agony,Disease prevents brilliant moments.
Surgery develops as time passes,Surgery falls back as time passes,Surgery is developing better and better thanks to the research of human,Surgery can cure people,Surgery still have lots of unsolved problems,Surgery does not fall.,Medical fields are always searching for new innovation and solutions.
Talking in one's mother tongue makes one feel warm,Talking in one's mother tongue makes one feel disgusting,People like hearing their mother tongue,People can speak other languages than their mother tongue,Some people have more than one mother tongue,Speaking a native language is a comforting feeling for people.,It is effortless and natural to speak in one's mother tongue.
Traditional culture is a two edges sward,Traditional culture is always a positive thing,Every nation's tradition culture have some negative parts,People should inherit their traditional culture,Traditional culture is the thing that distinguish different nations,"There are multiple cases in which traditional culture goes against ethics, moral and common sense.",Traditional cultures can have outdated or negative aspects.
The choir is preparing for their next performance,The choir is preparing for their next battle,Members in a choir are not soldier,A choir needs practice to make them perfect,A choir need a pianist,People do not sing for battle.,"Choirs sing, they don't fight battles."
"Heavy clouds are hovering above my head, there must be a storm soon","Heavy clouds are hovering above my head, there must be good weather soon",Low and heavy cloud will bring rain and storm,Low and heavy cloud is caused by humid air,Low and heavy cloud can be seen even at night,Heavy clouds indicate rain.,Heavy clouds never suggests good weather.
The pilot was not even injured after the air crash since he had parachute with him,The pilot was not even injured after the air crash since he had watch with him,Watches will not save pilot from air crashes,Watches can be luxury,Some watches can connect to network,Watches won't slow your fall,A watch is not be something that can save a person's life from a plane crash.
I had a nice sleep on my bed,I had a nice sleep on my pool,People cannot sleep in water,Pool can give people a good place to swim,Cleaning the pool is a tough job,Pool are not a common place to sleep.,"People go into pools to swim, not to sleep."
He inflated his bicycle tyre with a inflator,He inflated his breast with a inflator,Inflator is not suitable for inflating people's breast,Male can also have breast surgery,Big breast attracts most of man,Breasts do not inflate.,"Men don't have breasts, and breasts themselves are not enhanced with an air pump."
He cannot get his PhD degree because he doesn't have enough publication,He cannot get his PhD degree because he doesn't have wife,Getting married is not the requirement for getting PhD degree,Most of the PhD student will get married before they graduate,Some PhD student will get married with their colleague,A PhD thesis typically does not depend upon spouses.,having a wife wouldn't impact getting a PhD
The DJ made the whole party extremely high,The DJ made the airport extremely high,"Airport doesn't need DJ, since they don't need loud music",Airports have lots of advertisements,Airports is public place,Airports typically do not have DJs,the dj only works at parties
"Don't get too close to the lion, it may eat you","Don't get too close to the ant, it may eat you",Ants are too small to eat human,Ants live in community,Ants spreads all over the world,Ants don't eat humans.,Ants are not known to eat humans
"We create poem because we are human, and the human, is full of passion","We create poem because we are monkey, and the human, is full of passion",Monkeys don't write poems,Monkeys don't look like human,"Genetically speaking, monkeys are just like human",Monkeys don't create poems.,Humans are not monkeys.
People gain satisfaction from self-realization,People gain satisfaction from self-denial,Self-denial will make people feel bad all the times,Self-denial can be cured by psychologists,Self-denial can be cured by oneself,Self-denial does not bring satisfaction to people.,"Self-denial has more to do with inner turmoil and things a person is not willing to accept, which leads to negative feelings."
Split the smoke directly to one's face is offensive,Split the smoke directly to one's face is good for health,Smoke is bad for health,Smoking can make people look cooler,Smoking is considered as an extremely bad behavior in primary schools,Second hand smoke is categorically not good for one's health.,"Smoke is not healthy, so spitting it into one's face is bad for health."
People may fall in love with someone they already know,People may fall in love with someone they have never seen,People won't fall in love with an entirely stranger,People can fall in love with animals in very few cases,People can't fall in love with anyone if they are deeply hurt,You must see a person to fall in love.,People need to see each other to fall in love.
There is different kinds of flowers in the tea,There is different kinds of insects in the tea,Insects cannot be made into tea,Insects is beneficial to human,Insects have been existed on the planet for a long time,insects are not primary tea ingredients,"Insects do not go in tea, but flowers do."
Their slogan sounds pretty good,Their spirit sounds pretty good,Spirit is not a kind of sound,Spirit is the thing that bring man together,Spirit is the mental power of each individual,Spirit is a inner mental strength.,The spirit is not a phrase.
Dipping fried chicken into chili sauce is delicious,Dipping fried chicken into beef is delicious,Beef is not a kind of sauce,Beef is not suitable for vegetarians,Beef is the best for making hamburgers,Beef is a solid food.,You can't dip into beef
The factory contributes lots of jobs to the local community,The factory contributes lots of rain to the local community,Factories will not intervene the local weather,Factories can give tax income to the local government,Factories can produce industrial products in a fast speed,the rain comes from the sky,Rain is not a manufactured commodity.
"The ridiculous policy caused declination of food production, thus caused the famine","The ridiculous policy caused improvement of food production, thus caused the famine",Famines are caused by lacking of food,Famines will take lots of people' lives,Famines happen more on poor areas,A famine caused by improved food production is highly unlikely,Bogus policy can decrease the food production and thus creates famine.
We used our tax income to help local poor people,We used our tax income to help foreign poor people,Taxes income is used for the tax payers,There are lots of poor people all over the world,Being poor might be the problem of the government,"Our taxes go to help our town, not the world.",Tax revenue is used locally to help people.
Drinking more milk will help you grow taller,Drinking more water will help you grow taller,Water does not offer nutrition for growth and development,Water is important for human lives,Water is rich on earth,Water hydrates the body; does not make it grow.,Water is not attributed to growth in humans
He toggled the switch to turn the light on,He toggled the switch to turn his ass on,Human's ass is not electronic,Human's ass is soft,Human's ass is sexy,There is no buttons on asses.,there isn't a switch to activate an ass
He is waiting for his flight in the airport,He is waiting for his flight in the metro station,Flights will not land in metro station,Shuttle buses don't service metro station,Trains may stop at the metro station,Trains and subway cars use metro stations.,"Metro station is for trains , where as for flight one must go to Airport."
"Finally it's time to leave, I'm upset to say goodbye to my friends","Finally it's time to leave, I'm upset to say hello to my friends","""Hello"" is used when people meet each other","""Hello"" is an international way of greeting","""Hello"" originates from English","When you leave, you do not say hello.","When you're leaving, you're saying goodbye"
"If you fall, the acceleration is towards the ground","If you fall, the acceleration is towards the sky",The earth will attract everything because of the law of gravity,"The earth is rotating by itself, which reduce the gravity a little","The earth is rotating around the sun, which brings lives on earth","Gravity pulls objects towards the ground, making it impossible for most objects to rise.","Gravity makes you accelerate towards the ground, not the sky when you are falling."
"I have to return the borrowed book to the library, or I would have penalty","I have to return the borrowed book to the library, or I would have souvenir",Libraries don't give souvenirs to the rule breakers,Libraries usually have special store selling souvenir,Libraries have books about how to make a souvenir,A borrowed book would not be a souvenir,"Library books are only lent to people, they don't get to keep them."
The patient finally decided to donate his organs after he died,The patient finally decided to donate his ash after he died,The ash of a person is not useful,The ash of a person is a kind of powder,The ash of a person is dissolvable by acid,"Ashes are burnt remains, they are not able to use for transplants, etc.","Ash is not donated, but organs are."
She jumped off the high tower to find her died lover,She jumped off the table to find her died lover,A table is not high enough to kill people,A table is commonly seen in people's house,A table can be delivered by furniture providers,jumping off from the table can not do anything.,Jumping off a table will not kill someone
The CD player is popular among music loving teenagers,The game handle is popular among music loving teenagers,Game handles can not play any sound,Game handles have to pair with other device to work,Game handles use batteries,Game handle is popular only among game lovers,Game handles don't play music.
The pianist is famous for playing piano,The pianist is famous for playing violin,The pianist is the person who play piano,The pianist is the person who would join concerts,The pianist is the person who have to wear formal suit when they work,A pianist usually play piano and a violinist can play a violin.,pianist only plays the piano
The tsunami impact caused millions of people losing their home,The tsunami impact caused millions of people finding their home,The tsunami will destroy houses,The tsunami will make the local government panic,Earthquakes in the sea bottom will cause tsunami,tsunami is a diaster that causes people lose their homes,The tsunami would wash away people's homes not help them find it
The doctor prescribed him penicillin to fight back his cold,The doctor prescribed him penicillin to fight back his enemy,The penicillin is not used to deal with person,The penicillin is made by person working in factories,The penicillin is used for curing a person's disease,Penicillin does not helps to fight back his enemy.,penicillin isn't something to use against someone
"The old man is gone, leaving his heritage behind","The old man is gone for a business trip, leaving his heritage behind",People will not die when they go for a business trip,People will live in hotels when they go for a business trip,People will earn extra money if they go for a business trip,Heritages are left when people die.,"The word ""trip"" implies a temporary leave of absence, meaning he will eventually come back to whatever he has left."
The spirit is not suitable for kids since it contains too much alcohol,The spirit is not suitable for kids since it contains too much water,The water will not hurt kids,Kids need to drink a lot of water,Kids don't like pure water since there is no taste,"Water is good for kids, so the spirit containing too much water would not make it unsuitable for kids.",The spirit is a kind of alcohol.
He loves this song so much that he plays it over and over again,He hates this song so much that he plays it over and over again,People will not play music they don't like for too many times,Playing music too loud may make the neighbor hates you,"In a band, some people will play music together",Most music listeners are not masochistic enough to play a song they hate on repeat.,If he hated the song he would not play it.
Animal protectionists are striking to prevent people from killing whales,Animal protectionists are striking to help people killing whales,Animal protectionists help to save the animals,Animal protectionists help to cure the animals,Animal protectionists don't eat the animals they helped,Animal protectionists want to prevent animal deaths,Animal protectionists do not want whales killed.
"The train will take you far away, but it doesn't matter","The turtle will take you far away, but it doesn't matter","Turtles travel so slow, and they cannot carry human","Turtles have a long life, thus their lives are boring","Turtles live in the water, thus they have no trouble finding drinking water",Turtles are not a mode of transportation.,A turtle moves slowly to take one far away.
People have to register to the local government when they decide to live somewhere,People have to register to the local restaurant when they decide to live somewhere,Restaurants don't deal with administrative things,Restaurant will offer people good food,People can find a part time job in the restaurants,Restaurants are not responsible for finding people accomodation or for registering people who live in a place.,A local restaurant has nothing to do with  registration for moving somewhere else.
"They will definitely miss here, since they had such a happy life in this place","They will definitely leave here, since they had such a happy life in this place",People want to live in the place they love,People sometimes have to leave though they had a good time,People will wish all the best to others in their community when they leave,People do not leave places they had a happy time at.,You don't want to leave happy places.
Today is April 30th.,Today is February 30th.,February only has 28 days or 29 days.,the length of February is not equal to 30.,February may have 30 days on other planets.,February has maximum 29 days in the month.,February only has 29 days at most
A good knowledge of English will improve your chances of employment.,A good knowledge of English will improve your chances of unemployment.,knowledge of English will not let people be unemployed.,he is unemployed because he does not like English.,English is commonly used among unemployed people.,"quite the oposite, english will take you anywhere in the world.",English is the one of the most common languages so it should improve your chances
You might as well throw your money away as spend it in gambling.,You might as well throw your monkey away as spend it in gambling.,people do not use monkey to gamble.,monkeys do not gamble .,monkeys do not gamble with people.,"A monkey is not something that can be gamled with, or thrown away.",Sensical Statement1 and Nonsensical Statement1 are same.
I am a football fan.,I am a football.,A person is not a football.,Human is larger than football.,Football is lighter than human.,A human cannot be a football.,"you`re a human, not football"
He has a large income.,He eats a large income.,income cannot be eaten.,some people have to make a large income to eat enough food.,people with a large income tend to eat better food.,Money is not edible.,"Eating money is difficult, as coins are too hard to chew."
Can you move out of my way!,Can you move out of my fridge!,people do not stay in the fridge.,people use fridges to keep their food.,some fridges can help people make ice.,Movable things are not kept inside fridges.,"In general, people don't go into fridges in the first place."
Did you miss the bus?,Did you drink the bus?,people do not drink the bus.,drinking on bus is prohibited in some places.,bus driver should not drink wine while driving.,You cannot drink a bus,A bus is too big to be drunk
Does the computer ever make a mistake?,Does the computer ever make a cake?,computers are not able to make cakes.,the recipe of the cake is stored in that computer.,computer is more expensive than cake.,computers can't make a cake,"The capabilities of a computer are limited technological actions through hardware, software, and coding."
Draw your chair up to the table.,Draw your chair up to the moon.,moon is too far away.,he sat on a chair under the moonlight.,he made a moon cake on a chair.,the Moon within the night sky.,A moon is too high for a chair to be drawn there.
Not a sound was heard.,Not a soup was heard.,soup is uncountable.,the soup is served in a bowl.,people like to have a bowl of soup after meal.,Soup does not make noise.,soups don't make sound
He is acting an old man.,He is running an old man.,run is a intransitive verb.,the old man runs every morning.,the old man considers running as a good exercise.,An old man cannot be run like a piece of equipment.,An old man is a person not an appliance
I get up at six o'clock.,I get up at twenty five o'clock.,there is no twenty five o'clock in a day.,some planets may have twenty five hours a day.,i have twenty five questions to answer before twelve o'clock.,twenty five o'clock is outside the time zome,There is no twenty five o'clock in our time schedule.
I meet the boss himself.,I eat the boss himself.,people do not eat their boss.,the boss likes to eat fish.,the boss eats lunch at 1 pm.,Human beings cannot be eaten.,Eating the boss would be cannibalism.
He is collecting money.,He is collecting monkey.,normal people do not collect monkey.,he is collecting bananas for monkeys.,zoos collect monkeys over the world.,Monkeys can't be collected.,Monkeys aren't typically collected
He was born in New York.,He was born in volcano.,no one can be born in a volcano.,some people are born in a town near the volcano.,he was born in a country full of volcanos.,A person can't be born in a volcano,A volcanoe is too hot to be born in
he covered himself with a quilt.,he covered himself with a lion.,people sleep with quilt instead of lion.,the lion was covered with fur.,he took cover so that the lion would not find him.,a lion cannot be used as a cover,Lion cannot used to cover.
They crowned him king.,They crowned him queen.,man can not be a queen.,he loves a queen.,he has serviced the queen for 20 years.,"man are kings, woman are queens. thats how things are, you cant change your gender.",A man cannot be queen.
Even a child can answer this question.,Even a dog can answer this question.,dogs cannot answer questions.,the question is whether the dog can answer my call.,the boy in a shirt with a dog picture answers the question.,dogs cant speak,Dogs cannot speak or answer.
he sat with his arms across the chest.,he sat with his arms across the street.,it is impossible to cross one's arms over the street.,he saw his friends waving their arms across the street.,he waves his arms to a policeman across the street.,Arms can not be as wide as a street.,"His arms are attached to his body, and therefore cannot be across the street."
May I ask some questions?,May I ask some punishment?,people ask questions not punishment.,students will not get punishment by asking questions.,people who ask for drugs will get punishment.,You should not wish for punishment unless you deserve it.,Punishment cannot be asked for.
There was a notice in the supermarket.,There was a notice in the policeman.,a notice is not put inside people's body.,the policeman makes a notice beside the street.,the policeman makes a notice in the radio.,A notice cannot be put inside a policeman.,Policeman is not a place to have a notice.
he hired a workman to repair the fence.,he hired a singer to repair the fence.,singers sing songs instead of repairing fence.,the singer hired a workman to repair the fence.,the singer knows how to repair the fence.,"Singers perform for a living, and would not be called to repair a fence.",singer doesn't repair fence
The doctor is taking my blood pressure.,The driver is taking my blood pressure.,drivers drive cars instead of taking blood pressure.,the driver asks a doctor to take his blood pressure.,the driver knows how to take blood pressure.,blood pressure knows only doctor,Blood pressure is not usually tested by a driver.
We are good friends.,We are good burgers.,people is not burgers.,people like to eat burgers.,burgers makes people happy.,burger is not a living thing,Burgers cannot speak and would not be able to describe their value.
When was the house built?,When was the horse built?,horses cannot be built.,building a shed for horse is not easy.,he built a shack to rise his horse.,horses are born not built as they are animals not man-made,"Horses are born, not built."
I walked across the park.,I walked under the park.,people cannot walk under the park.,walkers walk under the park to build tunnels.,walking under park need some equipment.,mostly park doesn't has subway,"People walk through parks, going under would mean you somehow go underground."
Winter is a cold season.,Summer is a cold season.,summer is not cold.,people drink cold water in summer.,cold food is popular in summer.,Summer is known for being the hottest season.,Summer is a hot season.
he never misses a chance to see a movie.,he never misses a chance to drink a movie.,people see movies not drinking them.,he drinks soft drinks while watching a movie.,the movie theater sells soft drink to people.,A movie is not something you would drink,People watch movies to see something and not ingest it.
Did you enter the contest?,Did you read the contest?,contest cannot be read.,people read rules of the contest.,there are several instructions of the contest need to be read.,Contest cannot be read.,A contest is something to be part of and not just read.
It's only a party in honor of my birthday,It's only a race in honor of my birthday,people have birthday party not birthday race.,there is a race in the park on my birthday.,the twins raced to their mother to get presents on their birthday.,Birthdays are not usually celebrated by holding a race.,A race is too expensive of an undertaking for someone's birthday.
Cancer is a deadly disease.,Cancer is a good disease.,Cancer is a terrible because it can kill people.,some food is good for people who have cancer.,people who have cancer need to be taken good care of.,cancer is one of the worse diseases,A disease only harms people.
He walks with a quick pace.,He walks with a quick hand.,people walk with foot not hand.,he waves his hands while walking.,he made hand signals to his partner while walking.,Hands aren't used for walking.,You don't walk with your hands
My brother is seeking a job.,My brother is drawing a job.,jobs cannot be drawn.,his job is drawing portraits for criminals.,he is drawing a scene of a job fair.,Job cannot be draw.,A job cannot be drawn.
Have you cleared your luggage with customs?,Have you cleared your luggage with cleaners?,people need to clear their luggage with customs not cleaners.,cleaners cleared the room and found this luggage.,the cleaners with the luggage cleared your room.,Cleaners are not used to clear the luggage.,"There is no reason to have luggage for or around cleaners, as they don't coincide with travel."
He shot the lion with a gun.,He shot the lion with a spoon,spoon cannot shot the lion.,there is a lion-shape sculpture on the spoon.,lions do not know what a spoon is.,A spoon is used to eat food.,He is mad with fear
She is a good-looking girl.,She is a good-looking boy.,boys are referred as he.,she fell in love with a boy.,she adores a boy.,"The pronoun She, refers to a female.",She refers to a female and not a male.
Spring is a pretty season.,Spring is a pretty cake.,Spring is a season not cake.,this cake is called spring's smell.,people can buy cake not Spring.,Spring is not a type of cake.,Spring describes a season and cake is a food
This pen doesn't write well.,This elephant doesn't write well.,people use pens to write not elephant.,the elephant can write numbers with its nose.,that pen with an elephant on it writes well.,An elephant cannot write.,"An elephant's brain doesn't have the ability that let him speak, read or write."
"All at once, a rabbit came out of a hole.","All at once, a star came out of a hole.",a star is too large to be in a hole.,there are a lot of holes on that star.,there is a star-shape rock in the hole.,"Stars are located far away, in the universe, no where near the earth.",Star cannot be come out from a hole.
The sun comes up in the east.,The sun comes up in the south.,sun rises from the east instead of south.,sun light comes from the south.,people in the south enjoy the sun light.,The sun doesn't rise in the South.,The sun travels east to west and is never in the south.
He is taller than me by a head.,He is taller than me by a train.,no one can taller than others by a train.,a train is taller than human.,tall people is hard to get on a small train.,He cannot be that tall,A train is not a unit of measure.
I don't have any cash with me.,I don't have any planets with me.,no one can have planets with them.,people try to explore more planets.,people have not found any planet like Earth.,Planets are located in our solar system.,Planets are too big to be held
A red tie will match that suit.,A red lion will match that suit.,no one puts a lion on their clothes.,there is a lion-shape picture on the suit.,the man in a suit likes lions.,Red lions are animals and have nothing to do with clothing,"Generally, people don't have access to a lion, let alone a red one."
He usually stays at home with his pet dog.,He usually stays at home with his pet girl.,girl is human not pet.,he has a pet and a girlfriend.,he enjoys the company of his pet and his girlfriend.,Women cannot be kept as pets.,humans cannot be pets.
She guided the tourists around the castle.,She guided the river around the castle.,human cannot guide river now.,soldiers are guided to across the river.,tourists are guided during their visit of the river.,A river runs its own course and cannot be guided.,People cannot guide rivers around things
He devoted his life to the study of science.,He devoted his life to the study of courage.,there is no study of courage.,he studies celebrities' story to get courage.,he does not have the courage to study physics.,Courage isn't a field of research.,Courage is a personality trait you cannot study it
The mother sat the child at a little table.,The mother sat the child at a little zoo.,people sit on chairs or tables not zoo.,the child sat on a table in the zoo.,that child prefer sitting on table than going to zoo.,A zoo is a large attraction and so you wouldn't sit at it,"the zoo is a place, not an object that can be sat on"
The eggs are sold by the dozen.,The mountains are sold by the dozen.,mountains cannot be sold.,there are dozens of trees on the mountain.,dozens of hotels locates on the mountain.,Mountains are not sold.,you cant sell montains
May I use your pen?,May I use your sun?,no one owns the sun.,people use sun light to get electricity.,people cannot fully use the power of sun yet.,"you cant use the sun, its on space",The sun doesn't belong to any one entity.
I saw it with my own eyes.,I saw it with my own ears.,no one see things with ears.,I saw a man lost his ears.,seeing is better than hearing with ears.,We do not see with our ears.,You cannot see with your ears.
Would you like a cup of tea?,Would you like a cup of bread?,people do not put bread in a cup.,i have a cup of bread with a cup of tea.,a large piece of bread can cover a small cup.,bread is not stored in cups,Bread is not a beverage.
she really wishes her clock had rung.,she really wishes her clothes had rung.,clock rings and clothes do not ring,soldiers wear clothes after the clock rings every day.,she will ring the bell if she needs new clothes.,Clothes can not be rung to give off a sound.,Clothes does not rung.
Mr.Smith taught English at a school.,Mr.Smith taught English at a toilet.,no one teaches English in toilet.,there are lots of English signs in the toilet.,the English school has many toilets.,toilet is not class to teach English,"you do other things in the toilet, not teaching english"
let me tell you some details about clearance.,let me tell you some water about clearance.,water does not contain information.,water is allowed during clearance.,people can drink their water after clearance.,Water cannot be told about the clearance.,Water is a noun and does not describe clearance.
The secret was spread among the crowd.,The secret was spread among cows.,cows do not have secret.,people do not know whether cows have secrets.,people do not know cows' secret.,Cows cannot understand secrets.,Cow cannot spread the secret.
You can kill two birds with one stone.,You can kill two birds with one spoon.,spoon cannot kill birds.,spoon is smaller than birds.,hunters kill birds and eat them with spoons.,Murdering birds cannot be done with a spoon,Spoon is not used to kill birds.
will you connect this wire to the television?,will you connect this chair to the television?,chair cannot be connected to the television.,the wire on the chair need to be connected to the television.,the remote control on the chair need to be connected to the television.,A chair does not have any wire to be connected to the television.,"chairs are meant for that, they will do nothing"
His words are strongly impressed on my memory.,His words are strongly impressed on my table.,words do not impressed on table,he is impressed by the words puzzle on the table.,his words are impressing on negotiating table.,A table cannot take words on it.,Tables are not conscious and cannot form impressions of people's words
"he came out of the library, a large book under his arm.","he came out of the theater, a large book under his arm.",there are plays in the theater not books.,he took a large book with him to the theater.,large books are not allowed in operating theater.,You don't get books from the theatre,Going to the theater with a book defeats the point of watching a movie
I am familiar with the casual atmosphere in the company.,I am familiar with the casual atmosphere in the space.,it is vacuum in the space.,sailors require the delightful atmosphere while working in narrow space.,it is unlikely that human can build atmosphere in the space.,There is not atmosphere in space.,space doesn't has causal atomosphere
How much cloth does it take to make a skirt for the girl?,How much cloth does it take to make a table for the girl?,table is made of wood not cloth.,he put the cloth on the table.,the cloth on the table is made from cotton.,Table cannot made by the girl.,Tables are not made out of cloth.
There is a broken small old gray stone bridge over the river,There is a broken small old gray stone bridge over the sky.,human cannot build a bridge over the sky now.,the bridge is so high that make people feel in the sky.,the sky bridge is used to connect buildings.,Bridges can't go over the sky.,A bridge can not be present in the sky.
The enormous increase of population will create many problems.,The enormous increase of happiness will create many problems.,happiness is good for people so it will not cause problems.,lack of happiness is a problem in the society.,the cause of his problem is lacking happiness.,happiness does not make any problem to anyone,Happiness is an emotion it can't create problems
No wonder people say that computers are taking over the world.,No wonder people say that computers are taking over the restaurant.,most restaurants are still run by human.,he left his computer in the restaurant.,some restaurants are run by computers.,Restaurant is not a place to take the computers.,computers are taking all places
There's nothing better for you than plenty of water and sleep,There's nothing better for you than plenty of water and pills,too many pills is bad for people's health.,you will feel better after taking these pills.,these pills are designed to make sick people better.,Pills aren't always good for you.,Pills cannot be used for better.
I'm usually just using the search engines to look up information,I'm usually just using the search engines to look up anger.,search engines is unable to look up human's emotion.,bad search engine can increase my anger.,"i can search the meaning of ""anger"" through search engines.",Anger  is not a thing to be found in a search engine.,Anger is an emotion and does not pertain to search engines.
"when they get to the market, they can't find any oranges","when they get to the toilet, they can't find any oranges",people do not keep oranges in the toilet.,they found some rotting oranges in the trash can in the toilet.,orange peel can be used to clear the smell in toilets,oranges are not found in toilets as toilet have a set intended purpose of urinating,Oranges don't belong in the toilet.
they often run with the kites near the river,they often run with the kites in the river,people is unable to fly kites in the river.,they often catch the fish in the river,kites will be broken in the river,Running in water is difficult.,Kites cannot be found in the river.
she want to join the music club and play the piano,she want to join the music club and play the games,people do not play games in the music club.,she brought her board games into the music club.,she played some games after she left the music club.,you don't have games in the music club,To play games we cannot join the music club.
the cow gives milk and cream,the cow gives bacon and cream,bacon are meats that have been cooked.,he likes to eat bacon that is made from cow.,the farm produces cow milk and bacon.,cows do not provide bacon or cream and cannot understand the concept of giving,Bacon comes from pigs.
a dog has a large piece of meat in its mouth,a dog has a large piece of meat in its kitchen,kitchen is not a part of a dog.,that dog goes to kitchen for some food.,he brought his pet dog into the kitchen.,Kitchen is not a place does the dog have.,Dogs aren't allowed in the kitchen.
Jim's birthday is September 30th,Jim's birthday is September 31st,September does not have 30 days.,there might be 31 days in September on some planets.,the length of September is equal to 30.,September only has 30 days.,Jim's birthday is on the same day every year so it should be on the 30th
Mr. King is a teacher and he teaches English in a school,Mr. King is a farmer and he teaches English in a school,farmers do not teach lessons.,the farmer works near the school.,the farmer's son took lessons in the school.,farmers don't teach,The job of a farmer is to grow crops.
we are selecting the book shelf in the store,we are selecting the book shelf in the jail.,people cannot buy things in the jail.,there is a book shelf in the jail.,the bed in jail locates beside the shelf.,There is no book shelf in a jail,"jails have human scum, not books"
exercise makes us thinner,exercise makes us fat,exercise can let people be fit and strong,fat people don't like doing exercise,fat people don't do exercise usually,exercise helps us lose weight.,Exercise will not make us fat.
a train stops at a station,a train stops at a supermarket.,trains stops at a station instead of supermarket.,the supermarket sells toy trains.,supermarket is larger than a train.,The Supermarket is not place for a train.,there are no train tracks in the market
"he often plays basketball with me, he hopes me to be ""Yao Ming""","he often plays guns with me, he hopes me to be ""Yao Ming""",it is illegal to play guns.,they include fake guns in their play.,kids like to play with water guns.,Gun is not a thing to play.,guns are not toys.
the water in the river has color and smell because it is getting dirtier and dirtier,the water in the river has color and smell because it is getting cleaner and cleaner,the water should be no color or smell when it is clean,the water is cleaner because there is less smell and normal color in the river.,he jumped into the river to get rid of colors and smell on him.,Water does not have color and smell.,There is no smell or colour in a clean river.
she is a girl and she is my daughter,she is a girl and she is my son,son is a boy not girl.,she has a son.,she teaches his son to respect girls,Girls are not boys.,The girl is not a son only a daughter.
"we need a babysitter for our son, who is five years old","we need a babysitter for our son, who is fifty five years old",it is impossible that a boy is fifty-five years old.,he has been raising his son for fifty five years.,he met his step son when he was fifty five years old.,A 55 year old man is not a baby,babysistters take care of children
open your mouth and show me your tongue,open your mouth and show me your stomach,stomach is not in mouth.,your mouth and stomach are connected.,you will not get stomach ache due to food in your mouth.,You cannot see the stomach from outside the body.,Stomach is not available in the mouth.
people often say that a dog is man's best friend,people often say that a dog is man's best ball,dog is an animal not a ball.,the dog likes to play with ball.,some people like to play ball with their dogs.,"dogs are not toys, so hes not a ball",Dogs aren't round or used for sports.
a bank robber was caught and sent to prison,a bank robber was caught and sent to library,the robber will be sent to prison instead of library.,the guy in the library is the bank robber.,the guy being caught in the library is the bank robber.,Robbers are not sent to libraries.,A library is not a place of rehabilitation.
we collected some tree sticks to make a fire,we collected some tree sticks to make a planet,it is impossible to make a planet from tree sticks now.,it is impossible to find tree sticks on that planet.,the astronaut brought a tree stick with him to that planet.,You cannot make a planet with sticks,Planet cannot be made with the trees.
some of the animals in the rainforest live in the treetops,some of the animals in the rainforest live in the volcano,volcanos do not locate in the rainforest.,there are volcanos and rainforest on Earth.,that volcano locates near a rainforest.,no animal can survive inside a volcano,Volcano is not the home for animals.
forests help to keep water from running away,forests help to keep sunlight from running away,forests do not keep sunlight from running away.,the warm sunlight in the forest can help people relax.,people enjoy sunlight and forest.,Sunlight cannot run.,forest don't work like that
i have a terrible headache and i'm going to see a doctor,i have a terrible headache and i'm going to see a singer,singer cannot help people with their headache,i had a headache while listening to that singer's song.,the singer had a headache.,A singer is not a medical professional capable of assisting with headaches.,singer is not a doctor to relieve our pain
my favorite drink is apple juice,my favorite chair is apple juice,chair is different from apple juice,there is a bottle of apple juice on the chair,i drink a bottle of apple juice on my chair,Apple sauce cannot be used as a chair.,"apple juice is a drink, not a item of furniture"
he's watching insects on the grass,he's watching air on the grass,air is invisible.,he is watching insects in the air.,the flow of air can be seen in some circumstances,"you cannot see air, only what is carried on the air.",Air cannot be watched.
i went to the bar when i was 20,i went to the sun when i was 20,human is unable to go to the sun now.,i went to the mountain to see the sun rise.,the sun goes down to the west.,sun is very hot,Sun is not a place to go.
there are some fruit trees on the farm,there are some fruit trees on the horse,people ride horses not using them to grow trees.,fruit trees are heavier than horses.,the horse likes to eat fruits on that fruit tree.,horses don't give fruits,Horses don't carry fruit trees.
