id,FalseSent,OptionA,OptionB,OptionC
5709,The man thought the task was too spicy.,Some tasks are very hard and some are easy.,Tasks are a common part of everyday life.,A task is a concept and has no flavor.
5710,we humans live on Mars,Mars goes around the sun,the shape of Mars is like sphere,Mars lacks the conditions for human survival
5711,he added vinegar to his coffee,the color of vinegar is usually similar to that of coffee,vinegar makes coffee too sour to drink,coffee and vinegar have different ingredients
5712,she wants to eat some food because she is full,she is full so she wants to take a walk,people always don't eat food when they are full,she is full after she ate some food
5713,junk food can make people slimmer,junk food is delicious,people are happy when they are eating junk food,junk food is high caloric
5714,I sleep on the table every night,some tables are round and some are square,the table is not for sleeping,I don't need to sleep every night
5715,I opened the window when it rained,the rain wet the room through the open window,the rain was heavy and the window was open,the rain could clean the room through the open window
5716,Jack takes his spaceship to work,spaceship is the special transportation that flies into space,spaceship is too expensive for a person to take,taking a huge spaceship to work is so conspicuous
5717,It is so hot that he puts on his coat,he looks good in his coat,putting on his coat usually makes he feel hotter,he feels hot because of the shining sun
5718,you should see a cook when you feel uncomfortable,the cook cannot examine an uncomfortable person,eating food cooked by a cook can make you feel comfortable,the cook sometimes feel uncomfortable
5719,the people who have mental issues need someone to fight with,fighting may hurt people themselves,fighting may affect peoples' mental issues,fighting cannot solve the mental issues
5720,I go to the police station to see a music drama,police are not good at performing a music drama,police station is not a place to see a music drama,police is too small for a music drama
5721,people use clothes to absorb extra ink from a fountain pen,the clothes are too expensive to absorb extra ink,extra ink may make clothes more colorful,the ink marks on the clothes are difficult to wash off
5722,the lady was eating more sweets and snacks to reduce her weight,more sweets and snacks with higher calorie make people gain weight,eating more sweets and snacks makes the lady happy,the lady can eat more sweets and snacks after she lose the weight
5723,monkeys hang out on the sea,the sea is too broad for monkeys to hang out,the sea water tastes salty for monkeys,monkeys can't swim in the sea
5724,I have compassion for someone that I respect,people usually have compassion for displace persons,I respect for the person who has compassion,people rarely have compassion for someone that I respect
5725,"other than water, sugar is the main ingredient in book",water and sugar can stain the book,"book is made up of paper, not water and sugar",books about health mention that water and sugar are both ingredients that people need
5726,I could go to the Antarctic and find an apple tree there,the Antarctic is full of white snow and the apples are red,the Antarctic is cold that apples can be preserved for a long time,there are no apple trees in the Antarctic
5727,helping others makes John feel shameful,helping the bad guys makes John feel shameful,people always feel happy after helping others,John feels shameful when he is helped by others
5728,he needed to visit his neighbor before he cooked dinner,he wants to take some food from his neighbor for dinner,visiting the neighbor is not in the preparation steps of cooking dinner,he can cook dinner at his neighbor's house
5729,the final step for a farmer after making things grow is going to school,a farmer can go to school to learn how to make things grow,a farmer goes to school and see some growing plants,going to school is not a step in farming process
5730,the school serves liquor,the students can't bring liquor to school,"the school is a place for teaching, not for liquor",the teachers can drink liquor after school
5731,a cat usually can fit into a pop-top can,a cat shouldn't drink soda from a pop-top can,a pop-top can is too small for a cat to fit into,the material of a pop-top can is harmful to a cat
5732,a swamp is likely to contain a large village,a swamp is usually full of water and villagers need to drink water,a swamp is usually not suitable for human habitation,a large village is likely to contain a swamp
5733,a traveler keep his clothes in a bowl,"a bowl is usually for food, not for the clothes",a bowl is too small for the clothes,the clothes are much softer than the bowls
5734,Jack is swimming in the playground,Jack don't like swimming in the playground,playground is a public place for residents,no one can swim in the playground
5735,Mary watched sunrise at yesterday dusk,the sun didn't rise yesterday,Mary didn't go out at yesterday dusk,the sun falls at dusk
5736,he hurried to the supermarket to catch the plane,the planes don't take off in the supermarket,his home is far away from the supermarket,supermarket sells many kinds of model planes
5737,he plays fifa on his shirt,there is no fifa logo in his shirt,"he wears a sweater, not a shirt",no one can plays fifa on clothes
5738,she met a penguin in the Arctic,penguins don't live in the Arctic,she doesn't like penguins,the Arctic is too cold for penguin to live
5739,my brother is wearing a beautiful skirt,I don't have a brother,boys always don't wear skirts,my brother can't afford a skirt
5740,it is always raining in a desert,there are few animals in a desert,raining can damp a desert,it seldom rains in a desert
5741,he uses his hat to read a book,it's useless to read books with hats,the hat and the book don't match,no one reads a book with a hat on
5742,Peter caught a mouse in the sea,some people are afraid of mice,the mice are usually gray and the sea is usually blue,there are no mice in the sea
5743,pear trees drop their fruit to the sky,peers don't have wings to drop to the sky,gravity makes objects fall from the top down,lots of peers can't fill the sky
5744,I learned to play the piano at football class,some students at football class are weak in playing the piano,the piano is usually irregularly shaped while the football is usually round,the teacher at football class doesn't teach people to play the piano
5745,"while the parents are shopping, their child likes to go to hospital",the parents don't want their child to go to hospital,most children don't like to go to hospital,the child want to go to the mall next to the hospital
5746,he usually plays basketball with his feet,no one plays basketball by feet,basketball is in round-shapes,he walks on his feet
5747,tigers like eating grass,the grass is usually green,the tigers never eat grass,tigers are animals while grass is plants
5748,a bird swims in the water,the birds can't swim,the birds has wings,birds need water to drink
5749,she was born on September 31th,September only has 30 days,September is in autumn,she was born by her mother
5750,dogs catch and eat rats,both dogs and rats run very fast,dogs rarely catch and eat rats,dogs eat food when they are hungry
5751,I sleep 25 hours a day,I'm too tired to get up,a day only has 24 hours,I often sleep for a long time
5752,he was happy when he lost his lover,he didn't want to lose his lover,losing lovers rarely makes people happy,his lover is happy while he is not
5753,he gets a bad dream when he is awake,people don't dream when they are awake,bad dream makes him feel bad,he is awake and remembers his bad dream
5754,Tom gets passed when he tries to cross a concrete wall,a concrete wall is hard and thick,Tom is trying something crazy,human can't cross a concrete wall
5755,playing is necessary for people,some young people use toys to play,people are happy when they play,people won't die if they don't play
5756,Peter makes a law after getting up every day,the role of law is to regulate people's words and deeds,all citizens are bound by duty to uphold the sacred laws,a law should be made via many people's deep consideration and debate
5757,my mom always asked me to take a vote after the meal in my sick and painful years,I am sick and painful to take a vote,no one takes a vote every time once he has a meal,taking a vote is political behavior
5758,dad getting up in the early morning of refreshing weather makes me very worried,taking a walk in early morning with refreshing weather is a good idea,many people worried about morning weather,waking up early in good weather is nothing to worry about
5759,the formerly lonely man feel sad after chatting with friends for hours,the man who is chatting with friends feel so lonely,chatting with friends usually makes the lonely person happy,chatting with friends is a good way to decrease loneliness
5760,Tom went to the office to see live entertainment,Tom saw live entertainment because working at office is boring,the office is too small to hold a live entertainment,"an office is a place of work, not of entertainment"
5761,"the man was showing off a wristwatch, he was trying to donate it for drug money",the wristwatch is so expensive that no one can afford it,the person who donate something always didn't get money,the man want to donate his wristwatch to win the favor
5762,Mary is constantly making up to make her ugly,ugly people usually don't like to make up,making up constantly doesn't usually make people ugly,many girls spends lots of time making up everyday
5763,the soldier wears a down jacket to protect himself from a bullet,a down jacket is unable to stop a bullet,a down jacket can make people feel warm,a bullet goes fast while a down jacket is thick
5764,Sleeping helps one to go forward,sleeping make people in good spirits,someone can go forward without sleeping,no one can go forward by sleeping
5765,Debbie buys a ficus and put it in the internet bar,the internet bar is not a place to grow plants,the fruit of the ficus is food for birds,there are many computers in the internet bar
5766,my cat really likes being bathed,bathing can make my cat clean,my cat likes to be dirty,cats are usually afraid of water
5767,the teacher opened up the water bottle and took out the paper clips to arrange and sort papers at her desk,the water bottle is too large to place paper clips,a bottle full of water has no room for paper clips,paper clips are not usually kept in a water bottle
5768,being nervous is the opposite of being dead,many people are very afraid of death,very few people died of nervousness,there is no opposition between nervousness and death
5769,a pig is flying in the sky,pigs are usually pink while sky is usually blue,a pig can not fly in the sky,a pig is too heavy to be lift by the cloud
5770,pandas like eating bomb,a panda doesn't know the usage of a bomb,bombs is dangerous and pandas don't eat them,no living panda knows the exact taste of any bomb
5771,Jason plays computer games with his lovely dog,dogs can hardly play computer games in most cases,Jason's dog is too stupid to play computer games,Jason's dog doesn't like playing computer games
5772,"because he could not finish the assignment, his girlfriend was called to the school by the teacher",his girlfriend will be angry about his poor behavior,his girlfriend will feel very doubtful while being called by the teacher,his girlfriend is not responsible for his academic assignment
5773,"Alex is admitted by MIT, which makes his mother very depressed",parents are always happy to see their children to be admitted by outstanding university,"his mother wants herself to be admitted by MIT, not her child Alex",his mother used to be an excellent graduate of MIT
5774,I worked 31 days in February this year,February has no more than 29 days,I'm not so diligent,every month at most has 31 days
5775,I saw a tree walking yesterday,trees have leaves,trees can't move itself,some trees may have flowers
5776,the moon is square tonight,the moon is yellow sometimes,the moon can't be square,the moon is far from the earth
5777,Lilly barbecues fish in the water,fish lives in the water,fire can't exist in the water,barbecued fish is delicious
5778,I eat my cooked lunch from a dustbin,dustbin is full of rubbishes,I don't need to eat lunch,no one eat lunch from a dustbin
5779,I usually read books in the night with light off,reading books in the night is a good habit,light is useful in the dark night,no one can read books in the darkness
5780,I'm searching a chinese word in an english dictionary,an english dictionary doesn't has any chinese word,an english dictionary contains many english words,a chinese word may be difficult to understand for English
5781,I wear my right shoe on my left feet,my right shoe is too big for my left feet,my right shoe doesn't fit my left feet,I wear my shoes every day
5782,I listen to music with my eyes,I like listening to music,listening to music makes me relaxed,my eyes can't hear any voice
5783,I opened my house's door by my car's key,my house's door is big and safe,my car's key is small and delicate,my car's key doesn't fit too my house's door
5784,I drink salt water when I'm thirsty,salt water will make me more thirsty,salt water is easy to find,I always feel thirsty after doing sports
5785,I wear a coat when I'm hot,wearing a coat makes me feel hotter,summer makes me feel hot,I love those beautiful coats
5786,trees usually fall leaves in spring,leaves are usually yellow when they fall,spring is one of four seasons,trees usually get new leaves in spring
5787,I see the sunshine at night,I can see the moon at night,sunshine makes me feel warm,sunshine can't be seen at night
5788,a boy wears high-heeled shoes,high-heeled shoes can make a boy taller,high-heeled shoes have many kinds,boys don't wear high-heeled shoes
5789,human has a tail,tail is usually on the bottom,human doesn't have a tail,human walks by two legs
5790,I'm happy when I'm insulted,insulting others is rude and improper,I have never insulted others,getting insulted doesn't make anyone happy
5791,a fish is walking on the ground,fish can swim in the water,fish has two big eyes,no fish can walk on the ground
5792,I jump with my arms,no one uses arms to jump,arms can lift things,stronger one jump farther
5793,I feel my tears when I'm laughing,people rarely has tears when laughing,I laugh when I'm happy,people's tears taste salty
5794,I felt happy when my father passed away,I loved my father when he was alive,my father loved me so much when he was alive,parents passing away doesn't make one happy
5795,a car is slower than a bike,bike use human's power,a bike is cheaper than a car,a bike is always slower than a car
5796,there are a lot of teachers in the hospital,teachers go to the hospital when they get ill,"teachers work in the school, not hospital",most teachers are very nice to the students
5797,the slow wind is a catastrophe,the slow wind is warm and not destructive,the slow wind is the movement of air,the slow wind is transparent
5798,"when somebody is sad ,he will laugh",many people like to laugh,laugh express happiness,laugh is an action
5799,the ice-cream is hot,ice-cream usually tastes very delicious,summer is hot so many people want to eat ice-creams,ice-cream usually can't be kept when it is hot
5800,I watch radio after dinner,radio doesn't have a remote control,radio can play beautiful music,radio has no screen to watch
5801,my brother drink petroleum every day,the colour of petroleum is black,petroleum can't be drunk by people,unit price of petroleum is very high
5802,my friend works 200 hours a week,a week only has 168 hours,my friend is late for work,my friend don't work every day
5803,Sam's hair gradually turns green as he gets older,green hair seems cool and special,Sam loves green color so his hair turns green,man's hair can't turn green naturally
5804,he pours oil to stop fire,oil is too expensive to use to stop fire,fire is harmful to people and city,oil only burn with fire instead of stopping fire
5805,the earth is smaller than the moon,the earth is much bigger than the moon,the moon is nearly in round shape,the moon is not that far from the earth
5806,a boat is sailing in the sky,there's lots of stars in the sky,boat can't sail in the sky,sky may be grey in some cities
5807,an old cock lay an egg,cocks don't lay eggs,chicken like eating rice,people like eating eggs
5808,he likes eating volleyballs in summer,he likes playing volleyball,summer is hot and dry,no one eat volleyballs
5809,he breathes air in space,there's no gravity in space,there's no air in space,he can't live without air
5810,"though he's blind, he often reads books",reading books is a good habit,blind people may need a guide dog,blind people can't see anything
5811,he's energetic after playing an exciting basketball game,an exciting basketball game is worth watching,he loves playing basketball game,playing an exciting basketball game make people exhausted
5812,there's much water in the desert,it's hot in the desert at day,it's cold in the desert at night,a desert is lack of water
5813,lake runs from a place to another,there's many fish in the lake,lake is still so it can't run,lake will get frozen in winter
5814,I draw pictures by cigarette,cigarette is harmful to one's health,cigarette can't be used to draw pictures,I like draw pictures when I'm free
5815,I get good grades because I don't study at all,good grades will make one confident,no one will get good grades without study,grades is sometimes important for a student
5816,a butterfly used to be an egg,butterflies have many kinds and colors,there's no egg able to change into a butterfly,many people like eating eggs as breakfast
5817,ice will change into steam when it melts,ice changes into steam only when it sublimes,steam's temperature is higher than ice,ice is almost everywhere in the Antarctica
5818,Peter barbecues meat with water,barbecued meat is delicious,Peter like drinking pure water,no one uses water to barbecue meat
5819,he worked in Africa for 13 months last year,there's only 12 months in a year,Africa is far away from where he lives,he worked so hard and earned much money
5820,zebras are in white color only,there's no zebra in white color only,zebras looks like horses,almost all zebras live in Africa
5821,I walk on the water,the pure water can be drunk,no one can walk on the water,people walk on their feet
5822,She feels so sleepy when she is watching a interesting film,she may feel sleepy after watching an interesting film,she watches the film at night,interesting things won't make people tired
5823,I feel more than proud to be found to fart in public,say excuse me immediately if you fart,farting is not a thing to boast about,it is usual to fart in public
5824,he feeds his house every day,the house can't be fed,his house is so big,he feeds his cat in his house
5825,I go across the river by sheep,sheep are not vehicles,sheep drinks water by the river,sheep live on the grassland
5826,you will go south when you follow Polaris,Polaris is also known as the North Star,Polaris points toward the north,Polaris is brighter than some other stars
5827,the viruses are good for health,there are many kinds of viruses,the viruses can cause many kind of illness,the viruses can exist in many places
5828,we can hear with our nose,we have one nose and two ears,nose is in the middle of face,we can smell with our nose
5829,the mirrors are transparent,the mirrors are made of glasses,light cannot penetrate the mirrors,we can see ourself through a mirror
5830,pencil is made of iron,we can use pencils to draw a hammer,iron is a very common element,"pencil is made of wood, not iron"
5831,there are many kinds of sun,there are many kinds of stars and sun is one of them,there is only one sun in our solar system,we can read different books under the sun
5832,the bicycles use electric power,some bicycles are used to make electric power,riding bicycle is good people's health,"the bicycles use human's power, not electric power"
5833,strangers are close to us,most of the strangers don't care us,there are lots of strangers on the road,we shouldn't talk to a stranger
5834,fossil energy is clean,fossil energy can cause pollution,fossil energy comes from petroleum,there are radioactive elements in the fossil
5835,a digital watch has pointers,a digital watch has not any pointers,a digital watch shows us time,pointers in a watch are circling
5836,many people's skin is blue,different races have different colors of skin,most asians have yellow skin,almost no one has blue skin
5837,frenches use dollars,"frenches use Euros, not dollars",there are some americans in French,Bank of France has many dollars
5838,a plane can swim in the sea,the plane is solid while the sea is liquid,some plane can float on the sea,the plane doesn't work in the sea
5839,private car is a kind of public transport carrier,there are more and more private cars on the road,there are more pollution resulted from private cars,"a private car is private, not public"
5840,paper would be dry in water,water is not enough to make paper wet,the paper can absorb water,few paper can keep dry in water
5841,Bob got angry when he passed the exam,Bob doesn't like exams,people usually wish to pass exams,the exam is hard to pass
5842,he eats a durian without peeling,the durian is too smelly to peel,he is too lazy to peel the durian,the pericarp of durian can't be eaten
5843,he drives his ship on the road,the ship is lack of fuel oil,a ship can't move without water,he parked his ship at the dock
5844,I built a house on the moon,I can watch the moon through the telescope,it's impossible to build a house on the moon now,one house cannot cover the whole moon
5845,the water turns to ice under the sun,the water is liquid while the ice is solid,water and ice can be converted to each other,the water turns to ice below zero degrees centigrade
5846,Henry became happy after he shot an own goal,shot an own goal makes opponents happy,own goals are sometimes scored in football matches,shot an own goal makes Henry unhappy
5847,he plays football with his hands,playing football with hands is a foul,he can pick up the football with one hand,he likes playing football with his friends
5848,I bought a T-shirt in a restaurant,the restaurant doesn't sell clothes,I wore a T-shirt to a restaurant,the food in this restaurant is delicious
5849,cell phones are everywhere on a beach,parts of a cell phone are made of sand,cell phones can shine while sand cannot,cell phones are not from nature
5850,Jane plays cards with his dog,Jane always have fun with my dog,dogs can't play cards in most cases,Jane's dog watches him play cards
5851,he kissed the burglar who robbed him,the burglar will feel somehow embarrassed,he sympathizes with the burglar who robbed him,no one does intimate action to a criminal
5852,mom feels happy that I forgot her birthday,mom is happy that her birthday is drawing near,it isn't a happy thing that one's birthday is forgotten,I'm so sorry that I forget my mother's birthday
5853,today's hard work can change the history,what has happened can hardly be changed,history can be only seen by hard work,history will record one's hard work
5854,he invited his guests to a nearby hospital for dinner,a hospital is usually too quiet for a guest,there are different levels of hospitals in the city,a hospital is not a suitable place to treat guests
5855,this chocolate can memorize million bits of information,the factual information is that chocolate is made of cocoa,chocolate is not used for storing information,many people likes eating chocolate
5856,I saved my money to the trash can,I do not want to waste my money,"a trash can is for trash, not for money",I bought a trash can with my own money
5857,most people become more energetic after excessive bleeding,excessive bleeding will make one's body weak,people should exercise more to keep energetic,most people would not get themselves bleed excessively
5858,books are usually made of feathers,a feather is usually lighter than a book,feathers are rarely used to make books,this book is about different feathers
5859,a hamburger usually contains stone,stones can be seen in many places,stones is usually harder than hamburgers,stone isn't a kind of food
5860,I'm thirsty for french fries,french fries are not used to quench thirsty,french fries are delicious for some people,someone is thirsty after eating french fries
5861,I put my teacher into my backpack after class,some students don't like teachers,people can't be put into the backpack,there is no room for my teacher in my backpack
5862,a cow can live in a river,cows don't like eating fish in a river,a cow can only live on the ground,a cow can drink water from a river
5863,Tom prepares to light the table for illumination after the power outage,the table is glowing when it is burning,Tom can't find the table because of the power outage,there is no need to burn the table for illumination
5864,brother likes to watch music before sleeping,music is not interesting enough for my brother,soothing music is helpful to sleep for my brother,music cannot be watched but only listened to
5865,Jack took some ice from the stove,the stove sometimes produces a lot of smoke,"the stove is hot, so there is no ice","his stove burns wood, not ice"
5866,people like who are rude trouble-makers,there are some trouble-makers in the crowd,rude trouble-makers always get people mad,a trouble-maker was sent to the military school
5867,most kids hate toys,there are so many kinds of toys that kids don't know which to choose,kids are not allowed to play toys freely by their parents,the toys are so interesting that kids love to play with them
5868,a pair of sneakers has 3 big holes,there are only 2 big holes in a pair of sneakers,sneakers are on foots while pants are on legs,some sneakers have many small breathable holes
5869,a man can easily see the sun at night,the sun is much more far to the earth than the moon,the earth still runs around the sun at night,"the sun rises up in the morning, and goes down at night"
5870,his mother got satisfied after he failed in the chemistry exam,his mother thought the chemistry is easy to pass,his mother seldom used chemistry in her daily life,parents are always vexed to see their children get low marks
5871,my brother drinks sewage before sleeping every day,sewage is too dirty for people to drink,there are many kinds of substances in sewage,people drinks water purified from sewage
5872,the earth is approximately quadrate,there are many quadrate things on the earth,"the earth is approximately a sphere, not a cube",the earth is bigger than a quadrate brick
5873,I swim to the other side of the mountain,I swim in the pond by the mountain,the mountain looks like a swimming fish,no one can swim in the mountain
5874,man took a walk at the boundary the Milky Way,no one can walk at the boundary the Milky Way,we humans are all in the Milky Way,We can see the Milky Way through the Hubble telescope
5875,"when the traffic light is red, we can pass the road","traffic light has 3 colors: red, yellow, green",it is against the law to run a red light,there are some roads without traffic lights
5876,we can borrow money from a toilet,we relieve ourself in the toilet,a toilet has no money to lend,money can buy a toilet
5877,we can design pictures with an earphone,some earphones are more expensive than some pictures,we can appreciate pictures when we use earphones,we can only listen to sounds with an earphone
5878,we open our eyes when we sleep,we close our eyes so we can sleep,enough sleep is good for our eyes,our eyes take a rest when we sleep
5879,there are lots of pens in a book,pens are expensive while books are cheap,pens can exist on a desk,pens are used to write a book while words constitute a book
5880,robot will die if they don't eat food,robot do not need to eat food,current robots are not smart enough,robot can help human eat food
5881,smart phones can play basketball,a smart phone is smaller than a basketball,we can bring our smart phones when we paly basketball,people can play basketball while smart phones can't
5882,we use chairs when it rains,we can sit on the chairs when it rains,the chair is comfortable to sit on,no one use chairs against the rain
5883,we become younger when the time pass,"biologically, no one can become younger",time pass forever while we cannot exist forever,young peoples do not have much free time
5884,we can scream in a library,we scream when we are afraid,we can present books to the library,we should keep quiet in a library
5885,the rubbish is fragrant,the rubbish is rotten,the rubbish is in the ash-bin,we should classify our rubbish
5886,there are lots of mountains in the ocean,ocean is bigger than a mountain,mountains cannot exist in the ocean,there are lots of water in an ocean
5887,there are some fish on the tree,we can roast the fish under a tree,some fish can see the trees by the river,fish can only live in the water
5888,Jack keeps still when he jumps from a building,"stillness is relative, and movement is absolute",people cannot keep still when they jump,buildings are high while Jack is short
5889,"when the sun falls down, people wake up",the sunrise and sunset are both beautiful,the sun falls down and people wake up every day,"when the sun falls down, people usually go to bed"
5890,leaves are usually yellow in summer,yellow things are common in summer,leaves are usually yellow in autumn,leaves usually don't drop in summer
5891,bus can fly in the air,"buses are on the ground, not in the air","when we fly low, we can see some buses",a bus can contain a lot of people
5892,liquor usually can refresh someone,liquor usually makes people dizzy and stupid,some people like to drink liquor,someone continued to drink liquor after refreshed
5893,I can use my phone to swim with my friends,nowadays phones are very smart,phones are of no use for swimming,I call my friends with phone to swim
5894,John gets married with his elder sister,John doesn't love his sister at all,John and his sister got married on the same day,people can't marry their close relatives
5895,Tom's body gets shorter as he grows up,almost no one will get shorter when growing up,Tom's body is in a good condition when he grows up,Tom finds that trees get shorter when he grows up
5896,he saw a strawberry in black color,there is no strawberry in black color,strawberry tastes sweet and a little sour,strawberry juice mixed with apple juice tastes delicious
5897,he got excited when his friends betrayed him,his friends are ruthless and cold to him,no one is excited when being betrayed,many people betray others due to money
5898,his teeth are ill because he often brushes them,teeth will fall off when human gets old enough,someone's teeth stay healthy if he cleans them often,little babies has no teeth when they are born
5899,he turns on the light and then the house gets dark,no house will get dark when its light turned on,his house is big and there are many lights in it,he turns on the light when the sky gets dark
5900,my neighbor is 500 years old,500 years is a half century,no one can live 500 years,my neighbor is an old man
5901,he is praised due to his criminal deed,criminal deeds should be published,crime is adverse to the society,some criminals are sent to jail
5902,having a bad cold makes Cindy enjoyable,no on enjoys a bad cold,a bad cold may be deadly,a bad cold is harmful
5903,we keep in touch by sleeping,people can't connect others by sleeping,no one can live without sleeping,we keep in touch to keep our friendship
5904,monkeys like eating humans,humans are evolved from monkeys,humans and monkeys both eat fruits,monkeys don't eat humans generally
5905,we take lessons in toilet,some toilets are dirty and awful,we take lessons to gain knowledge,toilet isn't a place for learning
5906,staying up makes one excited,no one can be excited after staying up,staying up is harmful to one's health,many people stay up to do works
5907,I stop my car when the traffic light turns green,"traffic lights have three lights in red, green and yellow color",no car stop and stay still when the traffic light turns green,I like driving my car slowly when passing the cross road
5908,Tim fell asleep because of the interesting TV show,the interesting TV show taught people how to sleep,the TV show is usually played after some people sleep,"if Tim is attracted by the show, he won't get asleep"
5909,"when one gets cold, he can take some stomach medicine",stomach medicine can be found in many drugstores,stomach medicine takes no effect on coldness,someone who gets cold sometimes gets stomachache as well
5910,people like to eat bread which has mildewed,the bread went mildewed quickly because of the wet weather,mildewed bread tastes awful and is harmful to people's health,mildewed bread costs less at the bakery
5911,the boss got happy because his clerk had lost an important file,the boss always gets unhappy when the clerk gets into big trouble,the boss is tired because he still has a lot of files to approve,The boss dislikes his clerk and wants to dismiss him
5912,he received the offer to the world top university because of his really bad grades,some students who have bad grades can study hard to enter the top university,students have to get good grades to go into a world-famous university,the top universities prefer students who not only have not bad grades
5913,I eat more to lose weight,losing weight requires less intake than consumption,not eating is not good for losing weight,eating more vegetables and fruits is useful for weight loss
5914,"if you're busy now, I'd like to ask you some questions","when people are busy with their work, they will give better responses to questions",people will spare time with others only after they finish their business in most situations,the questioner think he is supposed to ask those questions at the same time to save both time
5915,"it's too sunny outside, so we have no need of sunscreen",sunscreen protects the skin from sunburn to some extent,we have many people so that there is a lack of sunscreen,because some sunscreen can make our skin uncomfortable
5916,she was full so she wolfed down eagerly,she couldn't resist her host's enthusiasm so she wolfed down eagerly,the food tasted so delicious that she couldn't help herself enjoying it,she couldn't eat any more otherwise she would feel uncomfortable
5917,he felt so hot that he turned off the air-conditioner,air-conditioner can produces both heat and cool air,air-conditioner made unpleasant noise so he turned it off,air conditioning can blow cold air to make one feel cool
5918,his handwriting is terrible so he should play a lot,playing a lot can't improve his handwriting,he can play a lot after doing some handwriting,he treats doing handwriting as playing a lot
5919,I'm less short of my breath when I quicken my pace,"moving faster makes me relief, so I'm less short of my breath",moving faster usually result in a more short breath,my pace is so quick that my breath can't keep up with it
5920,I took off my coat in the cold wind,we'll feel more cold when taking off coat in the cold wind,we'll feel more hungry when the cold wind touched our coat,then wind is not cold enough to harm your coat
5921,put a basin on his face to wash his face,a basin is not so soft to be used to wash the face,the volume of the basin is more than the cubage of one's head in most cases,a basin cannot be put to one's face to wash the face
5922,Jack jumps up the cliff,one can jump up the cliff given enough strength,the cliff is too steep and Jack likes jumping,the height of the cliff is much more than the limit of one's strength
5923,rides a pigeon to cross the mountains,a pigeon is bound to cross the mountains to deliver message among people,a pigeon cannot be ridden unless trained properly,a pigeon is too small for a person to ride
5924,puts a computer into a pan and cooks it,a computer will break if cooked by a pan,a computer will get boiled if cooked by a pan,Jane wants to control his pan and stove by his computer
5925,"Saying ""good evening"", he waved his teacher warmly at dawn when he arrived the school","""good evening"" is said by him at the time when he arrived at the school","""good evening"" is used at the time of greeting in the evening instead of in the morning","""good evening"" is said by him to please his teacher in the school"
5926,Jay feels grieved seeing his kind mother,his kind mother are grieved to see Jay,meeting with kind mother usually makes a person happy,Jay is in a state of grief before seeing his friends
5927,I am short so I have an advantage in model show,short girls seldom perform on model show,tall girls can usually perform better in model show,many short girls also like model show
5928,I do well in math courses so I do well in history courses,history courses are not part of the math courses,people cannot do well in math courses and history courses at the same time,some people do well in math and history courses
5929,John determines to grow taller so she eats less,his shortness is mainly because of sleeping late instead of diet,he determines to eat less junk food to grow taller,eating less would not provide enough nutrition to grow taller
5930,I washed up my quilt at the hotel,I do not need to wash up the quilt myself,I do not washed up well at the restaurant,are not enough waiters in the hotel
5931,I was encouraged by him so I broke up with him,encouragement makes a person feel friendly instead of angry and hostile,the encouragement would only cheer others instead of me,he and I were friends after the encouragement
5932,Jay played hard to finish the assignment,some guys never work hard to finish the assignment,Jay might be unwished to work on the assignment,playing would not help the achievement of the assignment
5933,Lin feels happy after left out by her brothers,feeling left out would lead to a person unhappiness,feeling left out would lead to a person happiness,delighted people well seldom feel left out especially by brothers
5934,Ken eats several books every day,eating books cannot make one full,eating books is not to make full use of them,books are not made to eat
5935,I turned green when passing a crossroads,cars can go when the light turns green,we cannot change our colour when passing a crossroads,turning green is a kind of traffic signal at many crossroads
5936,He gets energetic after 48 hours of continuous work,he's so energetic that he can work 48 hours continuously,long hours of continuous work will cost a lot of energy,he might be pushed by his boss
5937,My mind gets clearer after drinking a lot alcohol,drinking a lot alcohol will make a people unconscious,I had drunk a lot and my mind was so sad,the amount of the wine that I drink is not enough
5938,England declared war on her ally with great honour,a war of justice will bring glory to the conquer,it's immoral to declare war when there is a truce between them,a country is very likely to join a war when her ally is attacked
5939,"owing to years of drought and war, his enemy's empire is now very strong",the enemy's empire is strong enough to live throng drought and war,disasters and wars will lead a country weak not strong,"although suffering from drought and war, the empire is still very strong"
5940,"thanks to the great power of his rivals, it's the best chance he never owns to stab them on the back",stabbing a great power on the back is a good idea to weaken it,it's important to find a chance to stab the rival on the back,it's not wise to attack a rival when he's a great power
5941,Caesar has secretly raised opponents in the enemy country and they will put Caesar's rival down the throne,one's opponent will not help him to get the throne,Caesar raised opponents on his rival's way to the throne,the opponent Caesar raised has betrayed him
5942,"due to the lack of salary and training, Octavian will now have more loyalty from his mercenary",the lack of salary and training will weaken his authority and make the mercenary lose loyalty,the mercenary's loyalty doesn't come from salary and training,the mercenary seldom have honour
5943,"Caesar led his army to cross the river, and he ordered them to burn the river to prevent them from escaping",the burned river can still not prevent his army from escaping,it's impossible for Caesar to burn water in the river,his army will not follow his order to burn the river
5944,Caesar encountered a military defeat and got a lot of spoils,Caesar encountered a military defeat because his armies only focus on spoils,"generally speaking, only the winner of a battle has spoils",spoils are not the key of a battle
5945,"Caesar captured a lot of prisoners, to whom he surrendered",Caesar pretend to surrender to capture a lot of prisoners,Bending to the prisoners as a conqueror seldom happens,Caesar's prisoners are very aggressive
5946,"it's hot inside, we should turn the heater on",the usage of the heater is to make its nearby air hotter,turning the heater on will cause the insider temperature higher,"it's hot inside, just like a heater"
