id,sent0,sent1
4860,He unlocked the door with the keys,He unlocked the door with his foot
4861,That guy raised the umbrella to shield himself from the rain,That guy raised the umbrella to shield himself from the earthquake
4862,He bought a hamburger in the dining hall,He bought a hamburger in the post office
4863,She mailed some boats in the post office,She mailed some post cards in the post office
4864,He got to know the time by watching his ass,He got to know the time by watching his watch
4865,We can sit down since there is enough seats in the train,We can sit down since there is enough people in the train
4866,Someone forgot the liver on the train,Someone forgot the umbrella on the train
4867,There is a picture printed in the coffee,There is a picture printed on the coffee cup
4868,"The train reached its terminal station, everyone left","The train reached its terminal station, everyone died"
4869,I'm having haircut at the barber's,I'm having haircut at the firefighter's
4870,The wooden mirror in the house looks beautiful,The wooden floor in the house looks beautiful
4871,Our ancient sailors found America continent by ship,Our ancient sailors found America continent by bus
4872,"Those students love this place so much, they are happy to say farewell","Those students love this place so much, they are sad to say farewell"
4873,The police refused that person to get out of the train station since he cannot provide ID card,The police refused that person to get out of the train station since he can provide ID card
4874,The racer drives extremely fast in the field,The racer drives extremely fast in the room
4875,The fans screamed for the last goal,The judge screamed for the last goal
4876,Some lemon juice will help to cure your cold,Some lemon juice will help to cure your cancer
4877,The airport witnesses so many deaths and injures,The airport witnesses so many partings and reunions
4878,One have to be young enough to play the shooting game,One have to be old enough to play the shooting game
4879,"For seafood allergic people, they'd better not to eat bread","For seafood allergic people, they'd better not to eat oyster"
4880,Cheating in the game is not fair for other players,Cheating in the game is not fair for your computer
4881,Taking one's own chopsticks to restaurant is better,Taking one's own chopsticks to office is better
4882,I got a hair cut from the barber,I got a hair cut from the butcher
4883,I found the car's trace on the cement road,I found the car's trace on the snow
4884,We were late for the meeting because of the traffic jam,We were early for the meeting because of the traffic jam
4885,He went so drunk that he didn't remember anything last night,He went so excited that he didn't remember anything last night
4886,She is so afraid of darkness that she laughed in the dark house,She is so afraid of darkness that she cried in the dark house
4887,They have to say farewell to each other because they are leaving,They have to say hello to each other because they are leaving
4888,They liked the movie so much that they watched it twice,They liked the movie so much that they listened to it twice
4889,People don't need to bring cash with them if they have credit card with them,People don't need to bring glasses with them if they have credit card with them
4890,"If you use speaker to enjoy your music, you won't bother others","If you use ear phone to enjoy your music, you won't bother others"
4891,The fire alarm is triggered because he vomited in the toilet,The fire alarm is triggered because he smoke in the toilet
4892,"If you don't want to carry things on your hand, bring a backpack","If you don't want to carry things on your hand, bring a watermelon"
4893,The host forbid others entering the house by building fence around his house,The host forbid others entering the house by planting grass around his house
4894,You'd better not try that dish if you can't tolerate rock music,You'd better not try that dish if you can't tolerate chili food
4895,Don't forget to turn off the light if you're the first to come,Don't forget to turn off the light if you're the last to leave
4896,The couple enjoyed their sex in the bus,The couple enjoyed their sex in the hotel
4897,They used that application and called a bus,They used that application and called a taxi
4898,the sun will rise up from the west,the sun will rise up from the east
4899,the law can be changed,the law can not be changed
4900,people will repeat the same mistake,people may repeat the same mistake
4901,drinking wine is harmful for health,drinking wine is good for health
4902,put our hands into the fire is safe,put our hands into the fire is dangerous
4903,two man can't fall in love with each other,two man can fall in love with each other
4904,Men can wear skirts,Men can't wear skirts
4905,Air conditioning may be used in summer,Air conditioning must be used in summer
4906,A car is faster than a bike,A car is slower than a bike
4907,The day is brighter than the night,The day is darker than the night
4908,There are no human beings living on the sun,There are human beings living on the sun
4909,Rabbits eat lions,Lions eat rabbits
4910,"if you want to eat food, you can cook for yourself","if you want to eat food, you have to cook for yourself"
4911,"If you fall, you will break a bone","If you fall, you may break a bone"
4912,People eat with their mouth,People eat with their eyes
4913,Pandas can't be hunted,Pandas can be hunted
4914,"If you want to lose weight, eat junk food","If you want to lose weight, don't eat junk food"
4915,"If you want to be white, don't get in the sun","If you want to be white, just get in the sun"
4916,Eating vegetables is bad for health,Eating vegetables is good for health
4917,"If you want to make friends, you should stay alone","If you want to make friends, you should communicate with others"
4918,Dogs are our friends,Dogs are our enemies
4919,Mosquitoes won't bite people,Mosquitoes bite people
4920,The arctic ocean won't freezes in winter,The arctic ocean freezes in winter
4921,A thief stole my money,A thief stole my eyes
4922,I eat the sun today,I eat two pancakes today
4923,My brother is menstruating,My brother is sweating
4924,My brother likes flying,My brother likes swimming
4925,There may be aliens outside our solar system,There must be aliens outside our solar system
4926,Eating fruit is bad for your health,Eating fruit is good for your health
4927,Jack caught a bear in the jungle,Jack caught a bear in the sea
4928,"If you want a wound to heal quickly, put it into the dirty water","If you want a wound to heal quickly, clean it up"
4929,"I'm so hungry,so I have to eat food","I'm so hungry,so I have to take a shower"
4930,I can see the light of the lamp,I can smell the light of the lamp
4931,"If you want to arrive quickly, take a plane","If you want to arrive quickly, take a train"
4932,Wear short sleeves if you want to get cool,Wear a jacket if you want to get cool
4933,Get more sleep if you want to get fit,Exercise more if you want to get fit
4934,Rains are falling outside,Diamonds are falling outside
4935,"If you want to protect your eyesight, see more of the scenery","If you want to protect your eyesight, look at the computer more often"
4936,"If you want to keep warm, stay close to the fire","If you want to keep warm, stay close to the ice"
4937,work if you want to relax,Sleep if you want to relax
4938,Too much exercise can lead to health,Too much exercise can lead to injury
4939,There are aliens on the moon,There is no life on the moon
4940,All animals are very aggressive,Many animals are very aggressive
4941,"If you want to see farther, go to the mountains","If you want to see farther, go to the basins"
4942,Stand in the sun if you want to cool off,Stand under the tree if you want to cool off
4943,Take an umbrella when it rains,Don't bring an umbrella on rainy days
4944,Staying up late is good for health,Staying up late is not good for health
4945,Studying abroad will reduce your knowledge,Studying abroad will enrich your knowledge
4946,Drinking more water is bad for health,Drinking more water is good for health
4947,Humans cannot breathe the Martian air directly,Humans can breathe the Martian air directly
4948,Rats are the largest land animals,Rats are not the largest land animals
4949,Man is not the fastest animal,Man is the fastest animal
4950,Electronic devices bring nothing but harm to human beings,Electronic devices bring good and bad to human beings
4951,Driverless cars bring a lot of convenience to human beings,Driverless cars bring nothing but harm to mankind
4952,More people will be more productive,More people may be more productive
4953,Machines will go wrong,Machines never go wrong
4954,Fish are flying in the sky,Fish are swimming in the water
4955,Money is everything,Money isn't everything
4956,People can stop breathing,People can not stop breathing
4957,Good-looking people are not sure to find jobs,Good-looking people are sure to find jobs
4958,All leaves are not necessarily green,All the leaves are green
4959,I go to the restaurant to eat food,I went to the toilet to eat food
4960,I went to the moon to pick apples,I went to the orchard to pick apples
4961,I was thirsty so I went to eat bread,I was thirsty so I went to drink water
4962,I felt cold so I took off some clothes,I felt cold so I put on some clothes
4963,"If you want to get good grades, play games","If you want to get good grades, go and study hard"
4964,China's history is short,China has a long history
4965,Man can't breathe in space,Man can breathe in space
4966,I saw a tiger in the zoo yesterday,I saw a tiger in the sky yesterday
4967,I got hurt so I went to the hospital,I got hurt so I went to the restaurant
4968,Jim doesn't like fruit so he never eats apples,Jim doesn't like fruit so he often eats apples
4969,Mike had no money so he went to buy luxuries,Mike had no money so he never buy luxuries
4970,Two lovers are bound to get married,Two lovers are not bound to get married
4971,First-class airline seats are for the fat,First-class airline seats are for the rich
4972,The telephone is the most important thing in human society,The telephone is a important thing in human society
4973,I had bread for breakfast,I had rocks for breakfast
4974,I went out in a skirt,I went out in an umbrella
4975,He was very happy because he got low marks in the exam,He was very happy because he got high marks in the exam
4976,He went to prison for murder,He went to prison for charity
4977,The soup was very bad I drank a lot of it,The soup was delicious I drank a lot of it
4978,I left my keys at home,I left my home at key
4979,I lost my shoes while I was waiting for the traffic lights,I lost my phone while I was waiting for the traffic lights
4980,There was a tornado outside so I went for a walk,There was a tornado outside so I stay in my room
4981,My leg hurt so I stayed at home,My leg hurt so I went to play basketball
4982,I smoke in the smoking room,I smoke in the plane
4983,I drink my tea slowly during the earthquake,I evacuated quickly during the earthquake
4984,I grow potatoes in my farm,I grow potatoes on Mars
4985,Cut off your toenails if you don't want your socks to cut,Cut off your toes if you don't want your socks to cut
4986,I like swimming in the swimming pool best,I like swimming in the playground best
4987,The roof was covered with wind,The roof was covered with snow
4988,I'm going to walk to school because I'm in a hurry,I'm going to school by bus because I'm in a hurry
4989,I feed my dog every day,My dog feed me every day
4990,He explained detailed steps on the sky to all the students,He explained detailed steps on the white board to all the students
4991,The music played by table can give people a relaxing atmosphere,The music played by piano can give people a relaxing atmosphere
4992,It's sweet for couples to reunion,It's bitter for couples to reunion
4993,I need to be patient to catch my schedule,I need to hurry to catch my schedule
4994,People have to pay for the delivery if they subscribe to the music stream,People have to pay for the copyright if they subscribe to the music stream
4995,People have to swim for a long distance in a marathon,People have to run for a long distance in a marathon
4996,The pianist earned face palm in the hall,The pianist earned applause in the hall
4997,Adding some vinegar to lemon juice will make it not too sour,Adding some honey to lemon juice will make it not too sour
4998,The troop detected enemy plane with their radar,The troop detected enemy plane with their medal
4999,The last movie of the game is awesome,The last chapter of the game is awesome
5000,Running in the hallway is not safe,Running in the athletic track is not safe
5001,A camera can prevent cell phones from smashing the screen,A cover can prevent cell phones from smashing the screen
5002,He is fined for throwing garbage into the dustbin,He is fined for throwing garbage on the street
5003,"To become a state of law, laws have to be strictly executed","To become a state of law, the president should change the constitution in secret"
5004,Plastic bags is causing severe pollution to the environment,Paper bags is causing severe pollution to the environment
5005,People obtain sea salt from the ocean,People obtain sea salt from the dessert
5006,"Since he is about to leave, his roommates give him a surprise funeral","Since he is about to leave, his roommates give him a surprise party"
5007,The sand on the road reflects the pure blue sky,The sediment on the road reflects the pure blue sky
5008,"The piano masterpiece called ""pure white"" sounds beautiful","The video game called ""pure white"" sounds beautiful"
5009,Two president exchanged their opinion in the brothel,Two president exchanged their opinion in the meeting room
5010,I got in the supermarket from its entrance,I got in the supermarket from its glass curtain wall
5011,"There is no speed limitation on Germany highway, thus the driver can drive as far as they can","There is no speed limitation on Germany highway, thus the driver can drive as fast as they can"
5012,You should turn to the dentist if you have problem with your teeth,You should turn to the politician if you have problem with your teeth
5013,The police gave the robber a head shot with a water gun,The police gave the robber a head shot with a rifle
5014,Our hypocritical president pretend to be close to people by having buns in a public restaurant,Our hypocritical president pretend to be dictatorship by having buns in a public restaurant
5015,It's hard to recognize what's in there in an objective painting,It's hard to recognize what's in there in an abstract painting
5016,The ship harvested lots of fishes from the mountains,The ship harvested lots of fishes from the ocean
5017,A drifting bottle can travel with the ocean current,A drifting bottle can travel against the ocean current
5018,The employees feel sleepy because the lighting is too bright,The employees feel sleepy because the lighting is too dark
5019,Having a bath at night will make people feel released,Having a sunbath at night will make people feel released
5020,The driver stored all the luggage in the trunk of the car,The driver stored all the luggage in the tyre of the car
5021,He sent a postcard as a souvenir to his girl friend,He sent a credit card as a souvenir to his girl friend
5022,They built a monument for all the dead heroes during the warfare,They built a cinema for all the dead heroes during the warfare
5023,"He is poor at written English, thus he is afraid to talk to others","He is poor at oral English, thus he is afraid to talk to others"
5024,Dead people cannot become alive,Living people cannot die
5025,Refugees brought lots of safety concerns,Refugees brought so many wealth
5026,The metro started service because of the metro driver's strike,The metro stopped service because of the metro driver's strike
5027,"It's a town far from the city, I can see stars shining in the sky","It's a town far from the city, I can see the moon shining in the sky"
5028,They have some whales in their fish tank,They have some golden fish in their fish tank
5029,He subscribed to that channel since he disliked their videos,He subscribed to that channel since he liked their videos
5030,"The water quality is not good enough, thus I bought bottle water","The air quality is not good enough, thus I bought bottle water"
5031,He wrote all the key theories in his cheat sheet,He drew all the Japanese comics in his cheat sheet
5032,He discussed the exercise problems with his classmates during the tutorial,He discussed the exercise problems with his classmates during the lecture
5033,The sky turned green during the sunset,The sky turned red during the sunset
5034,He plays FPS game to kill his time,He does research work to kill his time
5035,He feels alone because everyone talk to him,He feels alone because no one talk to him
5036,Everyone in that province is celebrating because of the severe earthquake,Everyone in that province is praying because of the severe earthquake
5037,The phone sold well because customers think it lacks of innovation,The phone didn't sell well because customers think it lacks of innovation
5038,People have a great probability to travel to Mars by bus in the following decades,People have a great probability to travel to Mars by space ship in the following decades
5039,Workers are ordered to wear underwear in order to keep themselves safe,Workers are ordered to wear helmet in order to keep themselves safe
5040,Diseases make people suffer from unpleasant feelings,Diseases make people enhance brilliant moments
5041,Surgery develops as time passes,Surgery falls back as time passes
5042,Talking in one's mother tongue makes one feel warm,Talking in one's mother tongue makes one feel disgusting
5043,Traditional culture is a two edges sward,Traditional culture is always a positive thing
5044,The choir is preparing for their next performance,The choir is preparing for their next battle
5045,"Heavy clouds are hovering above my head, there must be good weather soon","Heavy clouds are hovering above my head, there must be a storm soon"
5046,The pilot was not even injured after the air crash since he had watch with him,The pilot was not even injured after the air crash since he had parachute with him
5047,I had a nice sleep on my bed,I had a nice sleep on my pool
5048,He inflated his breast with a inflator,He inflated his bicycle tyre with a inflator
5049,He cannot get his PhD degree because he doesn't have wife,He cannot get his PhD degree because he doesn't have enough publication
5050,The DJ made the whole party extremely high,The DJ made the airport extremely high
5051,"Don't get too close to the ant, it may eat you","Don't get too close to the lion, it may eat you"
5052,"We create poem because we are human, and the human, is full of passion","We create poem because we are monkey, and the human, is full of passion"
5053,People gain satisfaction from self-realization,People gain satisfaction from self-denial
5054,Split the smoke directly to one's face is offensive,Split the smoke directly to one's face is good for health
5055,People may fall in love with someone they already know,People may fall in love with someone they have never seen
5056,There is different kinds of flowers in the tea,There is different kinds of insects in the tea
5057,Their slogan sounds pretty good,Their spirit sounds pretty good
5058,Dipping fried chicken into chili sauce is delicious,Dipping fried chicken into beef is delicious
5059,The factory contributes lots of rain to the local community,The factory contributes lots of jobs to the local community
5060,"The ridiculous policy caused declination of food production, thus caused the famine","The ridiculous policy caused improvement of food production, thus caused the famine"
5061,We used our tax income to help foreign poor people,We used our tax income to help local poor people
5062,Drinking more milk will help you grow taller,Drinking more water will help you grow taller
5063,He toggled the switch to turn his ass on,He toggled the switch to turn the light on
5064,He is waiting for his flight in the metro station,He is waiting for his flight in the airport
5065,"Finally it's time to leave, I'm upset to say goodbye to my friends","Finally it's time to leave, I'm upset to say hello to my friends"
5066,"If you fall, the acceleration is towards the ground","If you fall, the acceleration is towards the sky"
5067,"I have to return the borrowed book to the library, or I would have souvenir","I have to return the borrowed book to the library, or I would have penalty"
5068,The patient finally decided to donate his ash after he died,The patient finally decided to donate his organs after he died
5069,She jumped off the table to find her died lover,She jumped off the high tower to find her died lover
5070,The game handle is popular among music loving teenagers,The CD player is popular among music loving teenagers
5071,The pianist is famous for playing violin,The pianist is famous for playing piano
5072,The tsunami impact caused millions of people finding their home,The tsunami impact caused millions of people losing their home
5073,The doctor prescribed him penicillin to fight back his enemy,The doctor prescribed him penicillin to fight back his cold
5074,"The old man is gone for a business trip, leaving his heritage behind","The old man is gone, leaving his heritage behind"
5075,The spirit is not suitable for kids since it contains too much alcohol,The spirit is not suitable for kids since it contains too much water
5076,He loves this song so much that he plays it over and over again,He hates this song so much that he plays it over and over again
5077,Animal protectionists are striking to prevent people from killing whales,Animal protectionists are striking to help people killing whales
5078,"The train will take you far away, but it doesn't matter","The turtle will take you far away, but it doesn't matter"
5079,People have to register to the local government when they decide to live somewhere,People have to register to the local restaurant when they decide to live somewhere
5080,"They will definitely leave here, since they had such a happy life in this place","They will definitely miss here, since they had such a happy life in this place"
5081,Today is April 30th.,Today is February 30th.
5082,A good knowledge of English will improve your chances of unemployment.,A good knowledge of English will improve your chances of employment.
5083,You might as well throw your monkey away as spend it in gambling.,You might as well throw your money away as spend it in gambling.
5084,I am a football fan.,I am a football.
5085,He eats a large income.,He has a large income.
5086,Can you move out of my way!,Can you move out of my fridge!
5087,Did you drink the bus?,Did you miss the bus?
5088,Does the computer ever make a mistake?,Does the computer ever make a cake?
5089,Draw your chair up to the moon.,Draw your chair up to the table.
5090,Not a soup was heard.,Not a sound was heard.
5091,He is running an old man.,He is acting an old man.
5092,I get up at twenty five o'clock.,I get up at six o'clock.
5093,I meet the boss himself.,I eat the boss himself.
5094,He is collecting money.,He is collecting monkey.
5095,He was born in volcano.,He was born in New York.
5096,he covered himself with a quilt.,he covered himself with a lion.
5097,They crowned him queen.,They crowned him king.
5098,Even a dog can answer this question.,Even a child can answer this question.
5099,he sat with his arms across the street.,he sat with his arms across the chest.
5100,May I ask some questions?,May I ask some punishment?
5101,There was a notice in the policeman.,There was a notice in the supermarket.
5102,he hired a workman to repair the fence.,he hired a singer to repair the fence.
5103,The doctor is taking my blood pressure.,The driver is taking my blood pressure.
5104,We are good burgers.,We are good friends.
5105,When was the horse built?,When was the house built?
5106,I walked across the park.,I walked under the park.
5107,Winter is a cold season.,Summer is a cold season.
5108,he never misses a chance to drink a movie.,he never misses a chance to see a movie.
5109,Did you enter the contest?,Did you read the contest?
5110,It's only a party in honor of my birthday,It's only a race in honor of my birthday
5111,Cancer is a deadly disease.,Cancer is a good disease.
5112,He walks with a quick pace.,He walks with a quick hand.
5113,My brother is drawing a job.,My brother is seeking a job.
5114,Have you cleared your luggage with customs?,Have you cleared your luggage with cleaners?
5115,He shot the lion with a gun.,He shot the lion with a spoon
5116,She is a good-looking girl.,She is a good-looking boy.
5117,Spring is a pretty cake.,Spring is a pretty season.
5118,This pen doesn't write well.,This elephant doesn't write well.
5119,"All at once, a star came out of a hole.","All at once, a rabbit came out of a hole."
5120,The sun comes up in the south.,The sun comes up in the east.
5121,He is taller than me by a head.,He is taller than me by a train.
5122,I don't have any planets with me.,I don't have any cash with me.
5123,A red lion will match that suit.,A red tie will match that suit.
5124,He usually stays at home with his pet girl.,He usually stays at home with his pet dog.
5125,She guided the river around the castle.,She guided the tourists around the castle.
5126,He devoted his life to the study of courage.,He devoted his life to the study of science.
5127,The mother sat the child at a little table.,The mother sat the child at a little zoo.
5128,The mountains are sold by the dozen.,The eggs are sold by the dozen.
5129,May I use your pen?,May I use your sun?
5130,I saw it with my own eyes.,I saw it with my own ears.
5131,Would you like a cup of bread?,Would you like a cup of tea?
5132,she really wishes her clothes had rung.,she really wishes her clock had rung.
5133,Mr.Smith taught English at a school.,Mr.Smith taught English at a toilet.
5134,let me tell you some details about clearance.,let me tell you some water about clearance.
5135,The secret was spread among cows.,The secret was spread among the crowd.
5136,You can kill two birds with one spoon.,You can kill two birds with one stone.
5137,will you connect this chair to the television?,will you connect this wire to the television?
5138,His words are strongly impressed on my table.,His words are strongly impressed on my memory.
5139,"he came out of the library, a large book under his arm.","he came out of the theater, a large book under his arm."
5140,I am familiar with the casual atmosphere in the space.,I am familiar with the casual atmosphere in the company.
5141,How much cloth does it take to make a skirt for the girl?,How much cloth does it take to make a table for the girl?
5142,There is a broken small old gray stone bridge over the river,There is a broken small old gray stone bridge over the sky.
5143,The enormous increase of happiness will create many problems.,The enormous increase of population will create many problems.
5144,No wonder people say that computers are taking over the restaurant.,No wonder people say that computers are taking over the world.
5145,There's nothing better for you than plenty of water and sleep,There's nothing better for you than plenty of water and pills
5146,I'm usually just using the search engines to look up anger.,I'm usually just using the search engines to look up information
5147,"when they get to the toilet, they can't find any oranges","when they get to the market, they can't find any oranges"
5148,they often run with the kites near the river,they often run with the kites in the river
5149,she want to join the music club and play the piano,she want to join the music club and play the games
5150,the cow gives milk and cream,the cow gives bacon and cream
5151,a dog has a large piece of meat in its mouth,a dog has a large piece of meat in its kitchen
5152,Jim's birthday is September 30th,Jim's birthday is September 31st
5153,Mr. King is a teacher and he teaches English in a school,Mr. King is a farmer and he teaches English in a school
5154,we are selecting the book shelf in the store,we are selecting the book shelf in the jail.
5155,exercise makes us fat,exercise makes us thinner
5156,a train stops at a supermarket.,a train stops at a station
5157,"he often plays basketball with me, he hopes me to be ""Yao Ming""","he often plays guns with me, he hopes me to be ""Yao Ming"""
5158,the water in the river has color and smell because it is getting cleaner and cleaner,the water in the river has color and smell because it is getting dirtier and dirtier
5159,she is a girl and she is my son,she is a girl and she is my daughter
5160,"we need a babysitter for our son, who is five years old","we need a babysitter for our son, who is fifty five years old"
5161,open your mouth and show me your stomach,open your mouth and show me your tongue
5162,people often say that a dog is man's best friend,people often say that a dog is man's best ball
5163,a bank robber was caught and sent to prison,a bank robber was caught and sent to library
5164,we collected some tree sticks to make a planet,we collected some tree sticks to make a fire
5165,some of the animals in the rainforest live in the volcano,some of the animals in the rainforest live in the treetops
5166,forests help to keep water from running away,forests help to keep sunlight from running away
5167,i have a terrible headache and i'm going to see a singer,i have a terrible headache and i'm going to see a doctor
5168,my favorite drink is apple juice,my favorite chair is apple juice
5169,he's watching air on the grass,he's watching insects on the grass
5170,i went to the sun when i was 20,i went to the bar when i was 20
5171,there are some fruit trees on the horse,there are some fruit trees on the farm
5172,a guide dog can lead its blind owner,a guide dog can lead its deaf owner
5173,i'm going to buy some books from the swimming pool,i'm going to buy some books from the bookstore
5174,i brush my teeth before going to bed,i brush my shoes before going to bed
5175,i just stayed at sky most of the time to read and relax,i just stayed at home most of the time to read and relax
5176,"because of the bad weather, we couldn't see anything outside","because of the bad water, we couldn't see anything outside"
5177,the food tasted great because i was so hungry,the drink tasted great because i was so hungry
5178,i'm going to give my aunt a card for her birthday,i'm going to give my house a card for her birthday
5179,most of us do our food shopping in the bedroom,most of us do our food shopping in the supermarket
5180,ginger shall be hot in the mouth,ginger shall be hot in the eyes.
5181,Sour milk is beer that has an unpleasant taste because it is no longer fresh,Sour milk is milk that has an unpleasant taste because it is no longer fresh
5182,"it's already 3 p.m., let's have the afternoon tea","it's already 9 p.m., let's have the afternoon tea"
5183,i hate bananas as a snack,i hate bananas as a desk
5184,i tried sushi in a Japanese toilet,i tried sushi in a Japanese restaurant
5185,the female sits on the eggs until the little birds hatch,the female sits on the fountain until the little birds hatch
5186,we followed the bear's tracks in the snow,we followed the bear's tracks in the water
5187,it is customary to offer a drink to guests,it is customary to offer a knife to guests
5188,you can buy your stamps at the police office,you can buy your stamps at the post office
5189,the hotel has a laundry service,the hotel has an exam service
5190,the school has recently built a new gym,the school has recently built a new supermarket
5191,Pitaya is a large red fruit with green tentacles on its skin,Pitaya is a large black fruit with green tentacles on its skin
5192,my salary is paid directly into my bank,my salary is paid directly into my house
5193,I decorated the fruit salad with a sprig of water,I decorated the fruit salad with a sprig of mint
5194,he left his street address so that we could send the e-mail to him,he left his street address so that we could send the mail to him
5195,a farmer killed the snake with a leaf,a farmer killed the snake with a stick
5196,a best friend is someone who share air and water with you,a best friend is someone who share happiness and sorrow with you
5197,your advice has helped me get along well with my classmates,your advice has helped me get along well with my pencils
5198,the naughty cloud pushed me into water,the naughty boy pushed me into water
5199,computer makes it possible for people from different parts of the world to talk to face,cake makes it possible for people from different parts of the world to talk to face
5200,a hobby is something you never get tired,a hobby is pet you never get tired
5201,"Because of the heavy rain, there are traffic jams everywhere","Because of the heavy rain, there are traffic water everywhere"
5202,this job takes me six weeks to finish,this job takes me six planets to finish
5203,All lions are required to attend the meeting,All students are required to attend the meeting
5204,it took one week to transport the food to the disaster-hit area,it took one week to transport the poison to the disaster-hit area
5205,"Because his car was damaged, he received RMB 1000 from insurance company","Because his car was damaged, he received RMB 1000 from electricity company"
5206,Fishing is my favorite book,Fishing is my favorite sport
5207,we bring coal and oil up from under water,we bring coal and oil up from under ground
5208,you can eat broccoli raw,you can eat pork raw
5209,we can have the washing done at the gym,we can have the washing done at the laundry
5210,they had wine for the children,they had sodas for the children
5211,don't forget to close the windows before you leave the spaceship,don't forget to close the windows before you leave the car
5212,baby birds do not have strong wings to fly,baby birds do not have strong arms to fly
5213,a theatre was built near my house,a volcano was built near my house
5214,he goes to a restaurant and he wants to have some eggs,he goes to a toilet and he wants to have some eggs
5215,the wind blows his train off,the wind blows his hat off
5216,a kite is on his bed,a plane is on his bed
5217,she opens her mouth and begins to sing,she opens her eyes and begins to sing
5218,she is going to the zoo to see elephants,she is going to the zoo to see boats
5219,"if you swim in the river, you know that the water is salty","if you swim in the sea, you know that the water is salty"
5220,fermented soybean is used in the washing process,fermented soybean is used in the cooking process
5221,shops are open every day,shops are closed every day
5222,several dogs put eyeglasses on before reading their newspapers,several old people put eyeglasses on before reading their newspapers
5223,I'm going to wash my car tomorrow,I'm going to wash my phone tomorrow
5224,he has an orange tree in his garden,he has an orange tree in his book
5225,black coffee leaves a bitter taste in the mouth,black coffee leaves a bitter taste in the book
5226,Jim is very hungry so he is walking to find a library,Jim is very hungry so he is walking to find a restaurant
5227,go to the hospital and ask a doctor to come here,go to the hospital and ask a policeman to come here
5228,you have to tell the judge the joke,you have to tell the judge the truth
5229,he climbs up a sculpture and hides among the leaves,he climbs up a tree and hides among the leaves
5230,John uses a car to go up and down,John uses a lift to go up and down
5231,I find a fly in the soup,I find a spaceship in the soup
5232,i believe playing the gamble will bring me good health,i believe playing basketball will bring me good health
5233,"once a man stole her horse, she went to a policeman","once a man stole her horse, she went to a doctor"
5234,I can get that man's hat off his head,I can get that man's hat off his feet
5235,he is driving along a road looking for a hotel,he is driving along a river looking for a hotel
5236,I open the door and then I walk in the room,I open the window and then I walk in the room
5237,"it happened that my father's friend was the manager of the hotel, so we could have better rooms","it happened that my father's friend was the manager of the hotel, so we could have better ships"
5238,in the afternoon we went boating in the sky,in the afternoon we went boating in the park
5239,he closes his eyes and pretends to be dead,he closes his eyes and pretends to be alive
5240,it took her 10 seconds to run 2 kilometers,it took her 10 minutes to run 2 kilometers
5241,I got a job at a restaurant and worked as a writer,I got a job at a restaurant and worked as a waiter
5242,we saw cartoon characters like famous actors.,we saw cartoon characters like Mickey mouse and Donald duck
5243,Drink more wine when you feel thirsty.,Drink more water when you feel thirsty
5244,on weekdays I get up at 6 a.m. and I have breakfast at 7a.m.,on weekdays I get up at 6 a.m. and I have lunch at 7a.m.
5245,I put a forkful of steak in my book,I put a forkful of steak in my mouth
5246,"do not waste more sea, we need to be more efficient","do not waste more time, we need to be more efficient"
5247,there is a ruler in the pencil box,there is a pan in the pencil box
5248,"of all the fish, I like to eat salmon the most","of all the lamp, I like to eat salmon the most"
5249,my boyfriend and i dined on lobster,my pan and i dined on lobster
5250,we used the branch of an old tree as a seat,we used the branch of an old gun as a seat
5251,"when a plane begins to take off or land, its passengers should fasten their seat belts","when a plane begins to take off or land, its passengers should fasten their seat chairs"
5252,we saw a salmon jumping in the waterfall there,we saw a snake jumping in the waterfall there
5253,"'today we'll start a new lesson,' the teacher said","'today we'll start a new lesson,' the cook said"
5254,I attached a note to my report with a paper clip,I attached a note to my report with a paper knife
5255,we filled a bowl with popcorn before the movie,we filled a bowl with fire before the movie
5256,he cut his finger while sharpening a pencil,he cut his finger while sharpening a table
5257,Sylvia fetched a towel from the book,Sylvia fetched a towel from the bathroom
5258,there are no seats left on that flight,there are no air left on that flight
5259,the vase has broken into dollars.,the vase has broken into pieces
5260,it's amazing to add peanut butter to hand,it's amazing to add peanut butter to toast
5261,two policemen held a knife to her throat and stole her savings,two robbers held a knife to her throat and stole her savings
5262,I buy popcorn and coke whenever I go to the cinema,I buy popcorn and knife whenever I go to the cinema
5263,she feeds the baby with a table,she feeds the baby with a spoon
5264,he spooned instant basket into the mug,he spooned instant coffee into the mug
5265,"a green salad has only green vegetables, such as pork and cucumber","a green salad has only green vegetables, such as lettuce and cucumber"
5266,Nicholas ate a dish of spaghetti,Nicholas ate a house of spaghetti
5267,we need to obey the traffic rule to avoid the traffic accident,we need to obey the business rule to avoid the traffic accident
5268,Tom picked his teeth with a brush,Tom picked his teeth with a toothpick
5269,he couldn't sleep at night after drinking tea,he couldn't sleep at morning after drinking tea
5270,"in the garden, the leaves of the tree had already fallen","in the garden, the park of the tree had already fallen"
5271,they went into the cafe for exam,they went into the cafe for coffee
5272,"I feel cold, may I have a fridge?","I feel cold, may I have a blanket?"
5273,"I like to swim, especially in the plane","I like to swim, especially in the sea"
5274,red wine is made from grass,red wine is made from grapes
5275,you can freeze the soup in the refrigerator,you can freeze the soup in the toilet
5276,"for exam, you can have apple pie","for dessert, you can have apple pie"
5277,you can buy tomato plants at the hospital,you can buy tomato plants at the nursery
5278,the sea water is mainly composed of sugar,the sea water is mainly composed of salt
5279,he stirred his coffee with a book,he stirred his coffee with a spoon
